logFC	P.Value	tf	DMSO	SP1	p_adjusted	sig
-0.153255642260737	0.395898191501104	HNF1A	0.344983734824515	0.191728092563778	0.923430554000625	NS
0.189156613771562	0.432526503628724	SRF	-1.02981779504856	-0.840661181276994	0.937850053148769	NS
0.244003560812477	0.446782325171125	NR1D1	-2.74173291213941	-2.49772935132694	0.937850053148769	NS
0.116374220158737	0.465361105664361	NR1H4::RXRA	-0.857145097593862	-0.740770877435126	0.937850053148769	NS
-0.122803793609066	0.453129317093127	NFYA	0.380197304266	0.257393510656934	0.937850053148769	NS
-0.14678231199534	0.507157110112475	POU5F1	-0.668456777545101	-0.815239089540441	0.937850053148769	NS
0.104281737779246	0.524551584728454	RARA:RXRA	-0.424868099936264	-0.320586362157018	0.937850053148769	NS
-0.102645703553851	0.491634730414351	MTF1	2.38520343525635	2.2825577317025	0.937850053148769	NS
-0.0964771321565789	0.550222211713732	FOS::JUN	0.562999278540985	0.466522146384406	0.937850053148769	NS
0.0893074252524783	0.582880083565995	TEAD1	0.810626469356492	0.89993389460897	0.937850053148769	NS
-0.0845793187093726	0.721670868147751	CLOCK	1.21644171163287	1.1318623929235	0.940359010010705	NS
-0.113100358129159	0.694209470901333	THRA	-1.82854260013906	-1.94164295826822	0.937850053148769	NS
-0.0198431919831753	0.896601990083454	NRF1	2.47917893033757	2.45933573835439	0.984327124014763	NS
-0.0399724199365974	0.886091842726441	NR3C1	-2.70839680705304	-2.74836922698964	0.984327124014763	NS
-0.100344193042106	0.64683625232273	RANDOM2_1_mCMV	-2.31386107065354	-2.41420526369565	0.937850053148769	NS
-0.0811518899742564	0.67970239066322	MAF::NFE2	1.99972029718028	1.91856840720603	0.937850053148769	NS
0.0666868571377462	0.680623279693497	TFEB	1.37616223384943	1.44284909098718	0.937850053148769	NS
-0.0510224673155219	0.870326089526508	NR1H2	1.44777832410033	1.39675585678481	0.984327124014763	NS
-0.0838404923900384	0.622107344048701	NR5A2	-1.88596135658036	-1.9698018489704	0.937850053148769	NS
0.0723195206190706	0.661148849607981	RANDOM3_1_mCMV	-1.83816824958111	-1.76584872896204	0.937850053148769	NS
-0.0855067892373395	0.667617493557227	RANDOM1_2_mCMV	-1.77812871679084	-1.86363550602818	0.937850053148769	NS
0.0493281363312039	0.880132768788333	RORA	-2.25408494077323	-2.20475680444202	0.984327124014763	NS
-0.0218898076519632	0.922095272228656	EGR1	-1.91864953734259	-1.94053934499455	0.984327124014763	NS
-0.00370351036753959	0.987381137912319	TFCP2L1	1.51067840404395	1.50697489367641	0.999728626101364	NS
-0.0245338748012582	0.879684482631428	RANDOM3_3_mCMV	-1.87146166682943	-1.89599554163068	0.984327124014763	NS
0.00712802397835385	0.969500953181109	GATA4	2.12758046042032	2.13470848439868	0.992584309209231	NS
-0.0487024203330386	0.806993122610507	GLI1	-2.38281120729535	-2.43151362762839	0.973180924472739	NS
0.0610120334442923	0.809848608110137	RBPJ	-2.07411878254828	-2.01310674910399	0.973180924472739	NS
-0.0271904166145962	0.900715338056077	RANDOM2_2_mCMV	-2.26674286665075	-2.29393328326535	0.984327124014763	NS
-0.0535671141095599	0.707843448703507	XBP1	-0.643899088275622	-0.697466202385182	0.937850053148769	NS
-0.0251210892455068	0.892202102507892	NR4A2::RXRA	0.597173016927037	0.57205192768153	0.984327124014763	NS
-0.0116591806356274	0.946174909905663	RANDOM1_3_mCMV	-2.2006379415568	-2.21229712219242	0.984327124014763	NS
-0.0189095974185725	0.93759021450648	HSF1	-2.30851160309219	-2.32742120051076	0.984327124014763	NS
-0.096157325530416	0.66687843154655	NR1I2	-1.57775681752279	-1.6739141430532	0.937850053148769	NS
0.594019510743866	0.00566498424787246	FOXA1	-2.37004725826421	-1.77602774752035	0.365391483987774	NS
0.506210931961679	0.0692727714325311	RANDOM1_1_Random	-1.83430647417901	-1.32809554221733	0.596477156396821	NS
0.671413579028945	0.151632000968433	NR3C2	-1.01828253654345	-0.346868957514506	0.698590290175993	NS
-0.194075347775255	0.221680268847385	SP1	1.42854701579044	1.23447166801518	0.742723434559868	NS
0.171077824152599	0.763986054285318	RFX1	-0.683830807295042	-0.512752983142443	0.967533135247679	NS
