logFC	P.Value	tf	DMSO	CH	p_adjusted	sig
0.179100676905392	0.650311465294545	ETS2	0.0230929966787195	0.202193673584111	0.908130000950612	NS
0.0859203222272394	0.75773608625431	ATF6	0.249251344885013	0.335171667112252	0.908130000950612	NS
-0.168502472629733	0.540319131984833	ONECUT1	-1.84008758574409	-2.00859005837382	0.908130000950612	NS
0.00721622542382296	0.965085657434211	ZFP42	-0.827202228124159	-0.819986002700336	0.988247713212632	NS
-0.0412839618756966	0.922978947194522	AR	-0.609058523773289	-0.650342485648986	0.968371354433597	NS
0.0332175947217956	0.811684960290662	ATF4	2.08602434756733	2.11924194228912	0.908130000950612	NS
-4.8340326888891	4.87285722578733e-15	TCF7	1.55940146272441	-3.27463122616468	6.23725724900778e-13	Downregulated
-1.20436302065945	1.74521564581354e-05	CLOCK	0.570108471978772	-0.63425454868068	0.00111693801332066	Downregulated
0.44991329193077	0.000567621839319257	TEAD1	0.697149882729069	1.14706317465984	0.0120953255215188	NS
0.300065832852085	0.00315375737719413	KLF4	0.488298120433119	0.788363953285204	0.0504601180351061	NS
-0.637645275107996	0.00683630239900841	MYC	-0.559337204590139	-1.19698247969813	0.079549700643007	NS
0.474423773471093	0.0137508537603779	NR1H4::RXRA	-1.77238798304442	-1.29796420957333	0.14667577344403	NS
-0.466767276757013	0.0185233572410384	FOS::JUN	0.296817396358209	-0.169949880398804	0.182383825142532	NS
-0.596658495099026	0.0390572502652149	RANDOM2_1_mCMV	-2.50313528116834	-3.09979377626737	0.285631010498879	NS
0.427604423011215	0.0305876277716678	POU5F1	-0.889177947773862	-0.461573524762647	0.261014423651565	NS
-0.676575058590382	0.0358826199135741	HSF1	-2.40963164184773	-3.08620670043811	0.285631010498879	NS
-0.685202201359232	0.0473151206689631	SOX9	-3.37114155694889	-4.05634375830812	0.297047016807896	NS
0.349453234417828	0.0423983531209273	TP53	3.31497121839102	3.66442445280885	0.285631010498879	NS
0.361757939141423	0.0487342761950455	E2F1	0.485667810287877	0.8474257494293	0.297047016807896	NS
0.28198857144626	0.061573337017409	HIF1A	-1.14699446308878	-0.86500589164252	0.351852639194024	NS
-0.841615094679527	0.0864491580703641	IRF1	-2.08914368197231	-2.93075877665184	0.409833045666911	NS
-0.342080484655405	0.118364377482108	TFEB	1.26555842360312	0.923477938947713	0.464339361893362	NS
0.274090676007199	0.0925919760496137	GLI1	-2.66141860117034	-2.38732792516314	0.423277604798234	NS
0.276631356998906	0.110372691726333	SOX2	1.03442726794179	1.3110586249407	0.456775331809384	NS
0.363439003373035	0.110625275672585	WT1	-2.01245356426869	-1.64901456089566	0.456775331809384	NS
-0.391015823691664	0.127467187880334	STAT1::STAT2	-2.76071563706341	-3.15173146075507	0.47987647202008	NS
-0.426695207013681	0.131729285743407	NR1I3	-2.29683130378085	-2.72352651079453	0.481752816433032	NS
-0.138848724655746	0.160295922622798	MTF1	2.12946687499727	1.99061815034152	0.539944160413636	NS
-0.470621327207605	0.172024179704459	VDR::RXRA	-2.68643465767013	-3.15705598487773	0.550477375054268	NS
0.543510034095972	0.19088841116041	NR3C1	-3.09397801605055	-2.55046798195457	0.569970313456926	NS
0.399096881118795	0.204672939469503	RANDOM1_2_mCMV	-2.56255808360507	-2.16346120248627	0.578661550608847	NS
-0.46009425021625	0.17634550477616	NR1I2	-2.16677775071023	-2.62687200092648	0.550542063691426	NS
0.593361676378424	0.24036040100044	IRX3	-1.87286650279029	-1.27950482641187	0.628725718119776	NS
-0.23792685755468	0.207956494750054	SMAD2::SMAD3::SMAD4	-2.0454392047076	-2.28336606226228	0.578661550608847	NS
-0.175572457907065	0.240684063967727	NRF1	1.92972809106697	1.7541556331599	0.628725718119776	NS
-0.244122333449787	0.338021829964123	RARA:RXRA	-1.59185211724886	-1.83597445069864	0.801236930285329	NS
-0.211430643984142	0.298546567909625	STAT4	-0.552688191529352	-0.764118835513494	0.764279213848641	NS
-0.414140619038517	0.304673674377553	RORA	-3.3336209360295	-3.74776155506802	0.764671182751506	NS
