tf,condition,reporterFC,replicate,logFC,p_adjusted,sig,ctrl_activity
GATA4,mES_LIF,0.113145825042099,R2,0.0441545203959633,0.886248731931273,NS,1.90979656824861
GATA4,mES_LIF,0.197611696837082,R3,0.0441545203959633,0.886248731931273,NS,1.90979656824861
GATA4,mES_POU5F1_DEG,-0.886849467560399,R1,-0.741017110072785,0.00462471831235906,Downregulated,2.61150968657356
GATA4,mES_POU5F1_DEG,-0.506887807793775,R2,-0.741017110072785,0.00462471831235906,Downregulated,2.61150968657356
GATA4,mES_SOX2_DEG,-0.03657064150919,R1,-0.252015925281753,0.130145879978054,NS,1.87022117137577
GATA4,mES_SOX2_DEG,0.383776803248787,R2,-0.252015925281753,0.130145879978054,NS,1.87022117137577
GBX2,mES_CH,0.578254745766891,R1,0.529087049093384,0.0120953255215188,NS,-3.0365174285852
GBX2,mES_CH,0.250944403293024,R2,0.529087049093384,0.0120953255215188,NS,-3.0365174285852
GBX2,mES_CH,0.701436624405661,R3,0.529087049093384,0.0120953255215188,NS,-3.0365174285852
GBX2,mES_FOXA1_OE,-0.288096452760225,R3,0.767688367860788,0.789720059729306,NS,-2.6693621634106
GBX2,mES_LIF,-0.0233936015207899,R1,0.264567122213536,0.31857278348172,NS,-3.04085082669958
GBX2,mES_LIF,-0.0564189187538351,R2,0.264567122213536,0.31857278348172,NS,-3.04085082669958
GBX2,mES_LIF,-0.287677412512571,R3,0.264567122213536,0.31857278348172,NS,-3.04085082669958
GBX2,mES_POU5F1_DEG,-0.45389086085313,R1,-0.540579677563603,0.192240597521956,NS,-3.73536877196956
GBX2,mES_POU5F1_DEG,-0.206162364851403,R2,-0.540579677563603,0.192240597521956,NS,-3.73536877196956
GBX2,mES_SOX2_DEG,-1.05403883499551,R1,-2.08738491512726,1.0340855519712e-7,Downregulated,-2.86380016100347
GBX2,mES_SOX2_DEG,-0.241484703637163,R2,-2.08738491512726,1.0340855519712e-7,Downregulated,-2.86380016100347
GRHL1,mES_CH,-0.764155575223586,R1,-0.642273489484658,0.00650473336501761,Downregulated,0.604612174476786
GRHL1,mES_CH,-0.806249809920224,R2,-0.642273489484658,0.00650473336501761,Downregulated,0.604612174476786
GRHL1,mES_CH,-0.387349233256241,R3,-0.642273489484658,0.00650473336501761,Downregulated,0.604612174476786
GRHL1,mES_FOXA1_OE,-0.719540348907017,R3,-0.493498152409824,0.797866376144013,NS,-0.584147051379741
GRHL1,mES_LIF,-1.21553308102512,R1,-0.99762985188839,6.4617113609168e-4,Downregulated,0.609293230898784
GRHL1,mES_LIF,-0.882962445060701,R2,-0.99762985188839,6.4617113609168e-4,Downregulated,0.609293230898784
GRHL1,mES_LIF,-0.700601571465479,R3,-0.99762985188839,6.4617113609168e-4,Downregulated,0.609293230898784
GRHL1,mES_POU5F1_DEG,-1.37310534480405,R1,-1.75062615721425,1.43491785069173e-5,Downregulated,-0.0800485816221466
GRHL1,mES_POU5F1_DEG,-1.61238581279909,R2,-1.75062615721425,1.43491785069173e-5,Downregulated,-0.0800485816221466
GRHL1,mES_SOX2_DEG,-0.271172265340366,R1,-0.204629777944335,0.35639058712591,NS,0.504665827203864
GRHL1,mES_SOX2_DEG,-0.148144186842163,R2,-0.204629777944335,0.35639058712591,NS,0.504665827203864
HIF1A,mES_CH,0.0383047520605515,R1,0.28198857144626,0.351852639194024,NS,-1.14699446308878
HIF1A,mES_CH,-0.577048491638178,R2,0.28198857144626,0.351852639194024,NS,-1.14699446308878
HIF1A,mES_CH,-0.432623834362515,R3,0.28198857144626,0.351852639194024,NS,-1.14699446308878
HIF1A,mES_FOXA1_OE,-0.224229499673664,R3,0.0353056559093325,0.9678307207156,NS,-2.55860455552793
HIF1A,mES_LIF,-0.305730358580501,R1,-0.00255291865825059,0.988405941782305,NS,-1.15344418086412
HIF1A,mES_LIF,-0.458103732036335,R2,-0.00255291865825059,0.988405941782305,NS,-1.15344418086412
HIF1A,mES_LIF,-0.203057622740659,R3,-0.00255291865825059,0.988405941782305,NS,-1.15344418086412
HIF1A,mES_POU5F1_DEG,0.15372578112181,R1,-0.502865614264656,0.37557624446745,NS,-2.25136275600145
