logFC	P.Value	tf	DMSO	PMA	p_adjusted	sig
-0.029473743124272	0.870141197041936	IRF1	-2.01404429148077	-2.04351803460504	0.927671193540576	NS
0.00985620729918084	0.926781134670696	HIF1A	-0.978481588361086	-0.968625381061905	0.948847352162855	NS
0.663858018851926	0.00265611868987199	RANDOM1_1_Random	-1.83485908284083	-1.1710010639889	0.342639310993487	NS
0.255377730863397	0.116026248941155	RANDOM2_1_Random	-1.446903537283	-1.19152580641961	0.678107357407369	NS
0.24959823835395	0.205158200823647	FOXA1	-1.94859421865215	-1.6989959802982	0.678107357407369	NS
0.184114101660584	0.392722151930539	RFX1	-0.825229425337013	-0.641115323676429	0.681454454445721	NS
-0.160837769195367	0.211805726757779	SP1	1.43419746166473	1.27335969246936	0.678107357407369	NS
0.0866114877949734	0.558657138116411	RANDOM3_1_Random	-0.478777961738415	-0.392166473943442	0.75608268045919	NS
0.0440438888847903	0.794543550258055	NR3C2	-0.727206713767395	-0.683162824882604	0.868611169349908	NS
0.840571553546134	0.0059292282991846	NFKB1	-0.711518426455894	0.12905312709024	0.382435225297407	NS
0.442162963791114	0.0373499190829675	RANDOM2_1_hBGm	-2.88723721621129	-2.44507425242017	0.678107357407369	NS
0.364328471571635	0.0455008554840523	RANDOM2_2_hBGm	-2.48345475427172	-2.11912628270009	0.678107357407369	NS
0.37333222564373	0.0724367929769436	RANDOM2_3_hBGm	-2.70996938970311	-2.33663716405938	0.678107357407369	NS
0.320681435074716	0.0838746613582802	RANDOM3_2_hBGm	-2.11916574852272	-1.79848431344801	0.678107357407369	NS
0.288932908794558	0.0993752790921394	PAX6	-2.25823365015515	-1.96930074136059	0.678107357407369	NS
0.329694257341009	0.107362764701387	RANDOM1_3_hBGm	-2.84996816168951	-2.5202739043485	0.678107357407369	NS
0.367682518271238	0.150248258094385	RANDOM1_1_hBGm	-2.75097544102776	-2.38329292275652	0.678107357407369	NS
0.351241088486448	0.173232337650375	NEUROG2	-3.0971920667425	-2.74595097825605	0.678107357407369	NS
0.387932645236796	0.177527103278692	HOMEZ	-2.97657910258998	-2.58864645735318	0.678107357407369	NS
0.214613958047612	0.276673759503756	GBX2	-2.16245332735997	-1.94783936931236	0.678107357407369	NS
-0.301217836737773	0.366796661656537	TCF7L2	0.899483340678411	0.598265503940638	0.681454454445721	NS
0.169204474575457	0.386919867860817	RANDOM3_1_hBGm	-1.79181243616204	-1.62260796158658	0.681454454445721	NS
-0.117445967588865	0.375887265741632	STAT3	1.86029737434644	1.74285140675758	0.681454454445721	NS
