logFC	P.Value	tf	DMSO	POU5F1	p_adjusted	sig
-0.562473039010119	0.238736669681278	RARA:RXRA	-4.13132869769141	-4.69380173670153	0.492875705148446	NS
-0.233883579909953	0.318284456818795	ZFX	-1.17009847325458	-1.40398205316453	0.55808781469597	NS
0.300936129380838	0.413292313918069	HSF1	-3.24026630266197	-2.93933017328113	0.620399033732159	NS
-0.196122468967471	0.317041742759522	CEBPB	-0.398677890122134	-0.594800359089606	0.55808781469597	NS
-0.101902485040619	0.898048767254388	NFYA	-2.43268009637758	-2.5345825814182	0.942215100070178	NS
-0.393677113249086	0.289977083077373	NR1H4::RXRA	-3.91061978525211	-4.30429689850119	0.537928501940635	NS
-0.804204542306218	0.3987365561264	HNF1A	-2.92321814102831	-3.72742268333453	0.620399033732159	NS
0.48880743184034	0.346764482798418	RANDOM2_3_mCMV	-3.92663216242687	-3.43782473058653	0.581505840282649	NS
0.358313743671077	0.349812107045031	TFAP2A	-3.61305247443776	-3.25473873076669	0.581505840282649	NS
-0.322062968265895	0.389542443537307	GLI1	-3.06778827893512	-3.38985124720101	0.620399033732159	NS
-0.379324058666725	0.39557834043125	NFATC1	-3.56077198952509	-3.94009604819181	0.620399033732159	NS
-0.460581495751795	0.338799045756545	VDR::RXRA	-4.14015701243388	-4.60073850818568	0.580987176146907	NS
0.16909120027259	0.549644937270586	TFEB	-0.0262371403079523	0.142854059964638	0.696579722481535	NS
0.290136669899591	0.467711877468171	RANDOM1_3_mCMV	-3.53657365137156	-3.24643698147197	0.650729568651368	NS
-0.142861986692317	0.613247819699303	RANDOM3_2_mCMV	-2.26093148093791	-2.40379346763023	0.747578294490579	NS
-0.146134125836905	0.555255105953585	ESRRB	-1.8924492846451	-2.038583410482	0.696790721196656	NS
-0.0061841572158941	0.991589607282736	ESR1	-5.32473481978541	-5.33091897700131	0.998183087815994	NS
0.177675052304402	0.798561123845878	RANDOM3_3_mCMV	-1.84417757001278	-1.66650251770838	0.9208632779484	NS
-0.0263180127855769	0.979413552789975	RANDOM2_2_mCMV	-3.30089901452977	-3.32721702731535	0.994959799659657	NS
-0.104405159649947	0.896669574654436	RANDOM2_1_mCMV	-5.43528741282815	-5.5396925724781	0.942215100070178	NS
-0.0352307719224889	0.969138161120403	RANDOM1_1_mCMV	-2.9605155719781	-2.99574634390059	0.992397476987293	NS
0.0877637277111679	0.871681964727155	THRA	-5.74451055256698	-5.65674682485581	0.939042585085944	NS
0.0674572793725733	0.82549379223181	TP53	4.21772806547214	4.28518534484471	0.939042585085944	NS
0.0826311147218985	0.863586389960741	GATA1	-4.09852961477374	-4.01589850005184	0.939042585085944	NS
0.0433619380471148	0.953493249336198	IRF1	-3.85372000425861	-3.8103580662115	0.984251096088978	NS
-0.0993936122356566	0.873016153322088	RANDOM1_2_mCMV	-3.45435501704699	-3.55374862928264	0.939042585085944	NS
-0.0887594411490352	0.718578013455959	NR5A2	-3.07425261164419	-3.16301205279323	0.846572753454252	NS
0.12168998988127	0.836377883659352	RORA	-4.79471235799588	-4.67302236811461	0.939042585085944	NS
0.0792682310330197	0.847576031171904	NR1I2	-3.84086843571676	-3.76160020468374	0.939042585085944	NS
1.28745508462138	1.93501294115948e-05	NFKB1	-1.41920517788804	-0.131750093266663	0.000357150138934787	Upregulated
-1.79913509305857	0.000472418965204844	STAT3	0.0142995319072926	-1.78483556115127	0.00465150981124769	Downregulated
-0.855801763838855	0.000758326568517546	SP1	-1.06869388244046	-1.92449564627931	0.00647105338468306	Downregulated
-1.24402274024092	0.00455958926443692	SMAD4	-4.17102625717874	-5.41504899741966	0.0277917821832345	NS
1.08670368542708	0.0195969636690654	IRF3	0.877193893802746	1.96389757922982	0.0895861196300131	NS
-0.540579677563603	0.0510639087167697	GBX2	-3.73536877196956	-4.27594844953316	0.192240597521956	NS
0.521575756302145	0.0392721196139939	CREB1	-2.75105387293912	-2.22947811663697	0.161561530358856	NS
-0.979415469147609	0.053424661493286	PAX6	-5.11546455970879	-6.0948800288564	0.195381619175446	NS
-1.4193766204606	0.229426798294494	HOMEZ	-3.66035985103909	-5.07973647149969	0.481420166913038	NS
-0.603886909169504	0.188300291351198	RANDOM1_2_hBGm	-4.55725057753118	-5.16113748670068	0.418443669812802	NS
-1.14521997250582	0.416830600788795	IRX3	-4.4296751136421	-5.57489508614792	0.620399033732159	NS
-0.619752071591722	0.453512925810919	RANDOM2_3_hBGm	-3.52770067455341	-4.14745274614513	0.639150088336311	NS
-0.355758522850435	0.447435291035691	RANDOM1_3_hBGm	-5.22122098385037	-5.5769795067008	0.639150088336311	NS
-0.496314658865919	0.546191463270576	RANDOM2_2_hBGm	-5.23906289652656	-5.73537755539248	0.696579722481535	NS
-0.817385447006519	0.453662055037051	NEUROG2	-4.57115291006509	-5.38853835707161	0.639150088336311	NS
-0.402071409884765	0.500062944857821	RANDOM3_1_hBGm	-4.19267133864595	-4.59474274853072	0.666750593143761	NS
-0.465266206898701	0.412115705540091	RANDOM3_3_hBGm	-6.21335576553055	-6.67862197242925	0.620399033732159	NS
-0.266132803176012	0.761507537366441	TCF7L2	-3.56642355311967	-3.83255635629568	0.886117861662768	NS
-0.102236536244243	0.894782668436495	RANDOM3_2_hBGm	-3.46786519428362	-3.57010173052787	0.942215100070178	NS
-0.0376485299123036	0.918367032871894	RANDOM1_1_hBGm	-5.03972804880023	-5.07737657871253	0.955699026078069	NS
-0.069595302982637	0.633976877746618	NFE2L2	3.25681741529795	3.18722211231531	0.765556984448747	NS
-0.160990211544845	0.86671862033983	RANDOM2_1_hBGm	-4.46414074490881	-4.62513095645365	0.939042585085944	NS
-0.93248831539688	0.00194002339812148	RANDOM3_1_Random	1.90814709879742	0.975658783400541	0.0146072349976206	NS
1.49197823445334	0.0144975697037367	RFX1	-5.01489993604058	-3.52292170158725	0.0755353404880841	NS
0.916482494806322	0.243144375515255	MEF2A	-2.2997621397877	-1.38327964498138	0.494007620094485	NS
0.89023660812992	0.306365286319518	SOX9	-2.79269979926161	-1.90246319113169	0.55808781469597	NS
-0.383080212033694	0.537035458778379	FOXO1	-1.56241950852765	-1.94549972056135	0.694348875996288	NS
0.66883598825461	0.261638351977899	RANDOM1_1_Random	-0.347237641369079	0.321598346885531	0.515226293125708	NS
0.466466814449526	0.514386026542658	RANDOM2_1_Random	-2.44934069069281	-1.98287387624328	0.671851136708778	NS
