logFC	P.Value	tf	DMSO	SOX2	p_adjusted	sig
-0.239149975782502	0.132986869328103	SP1	1.46007323951614	1.22092326373364	0.277881765197766	NS
0.574292644395449	0.15047409464242	RANDOM1_1_Random	-1.90104607670912	-1.32675343231367	0.296318217141997	NS
0.523669406979449	0.319200748398768	RANDOM2_1_Random	-1.41140888601916	-0.887739479039716	0.492261395120992	NS
0.0586785978488994	0.812136912277856	RANDOM3_1_Random	-0.748620512084842	-0.689941914235943	0.859120039434426	NS
-1.79341509308008	1.17802732570585e-11	STAT3	1.67465826882643	-0.118756824253646	3.01574995380698e-10	Downregulated
-1.95402300038977	3.49835702453267e-09	ESRRB	-2.47205675394553	-4.4260797543353	5.59737123925227e-08	Downregulated
-2.08738491512726	8.07879337477496e-09	GBX2	-2.86380016100347	-4.95118507613073	1.0340855519712e-07	Downregulated
-2.22606353343303	1.23187716528285e-08	RANDOM3_3_hBGm	-2.52514008195157	-4.7512036153846	1.43345706505641e-07	Downregulated
0.877079570145318	2.71547944376376e-07	NFKB1	-1.2304771894161	-0.353397619270786	2.48272406286972e-06	Upregulated
1.46641100024235	3.89549895464629e-07	IRF3	1.82414669628807	3.29055769653041	3.32415910796484e-06	Upregulated
-1.95420540424996	5.45295329985051e-06	SMAD4	-2.71548467583442	-4.66969008008438	3.48989011190433e-05	Downregulated
-1.70953102599841	3.56555943380934e-05	PAX6	-3.34724933936206	-5.05678036536047	0.00019843113370765	Downregulated
-1.13610120957826	0.00103654803355573	RANDOM1_1_hBGm	-4.26680686382512	-5.40290807340339	0.0044226049431711	Downregulated
-0.526328824451998	0.00175028272605466	CREB1	-2.00527581996216	-2.53160464441416	0.00700113090421863	Downregulated
-0.445705373178629	0.00762882717850015	ELK1	1.52894609658763	1.083240723409	0.0255337778512205	NS
-1.01411369346145	0.00753937042178839	RANDOM3_1_hBGm	-2.6098849932863	-3.62399868674775	0.0255337778512205	NS
-2.17232699881178	0.0178037913774549	HOMEZ	-1.61085576371511	-3.7831827625269	0.052997332472424	NS
-1.05043792440062	0.0235913337758161	RANDOM2_2_hBGm	-3.56526811310736	-4.61570603750797	0.0686293346205559	NS
-1.41207706334797	0.0294036088090831	RANDOM3_2_hBGm	-2.6921186704803	-4.10419573382827	0.0800779133523964	NS
-1.08324379014409	0.0524228352810576	RANDOM1_2_hBGm	-3.82585059428507	-4.90909438442916	0.126606092754252	NS
-1.13026913574542	0.134598980017668	RANDOM2_3_hBGm	-3.31622693205902	-4.44649606780444	0.277881765197766	NS
-0.747005298951586	0.146091619031567	RANDOM1_3_hBGm	-4.06268712153853	-4.80969242049012	0.296318217141997	NS
0.117230859481074	0.220141181884072	NFE2L2	2.32260234386179	2.43983320334287	0.361257324117451	NS
-0.724933436517397	0.496061760755601	TCF7L2	-0.644289508951103	-1.3692229454685	0.642262773266044	NS
-0.579716398448597	0.465758044046445	RANDOM2_1_hBGm	-3.07331805905049	-3.65303445749909	0.614608552968505	NS
-0.858895841884409	0.555163436232738	NEUROG2	-1.58322733606602	-2.44212317795043	0.676856959568105	NS
