logFC	P.Value	tf	DMSO	TFCP2L1	p_adjusted	sig
0.369607450099723	0.0239770335347104	STAT1::STAT2	-2.10146506877347	-1.73185761867375	0.193314832873603	NS
0.292745165688869	0.0319659136730445	RANDOM3_1_mCMV	-1.84715921259149	-1.55441404690262	0.217201267901146	NS
0.28260868029498	0.0554525861357651	RANDOM1_1_mCMV	-2.43818751021897	-2.15557882992399	0.263584646905987	NS
0.299683059184166	0.065685628392568	NR1D1	-2.66472744853785	-2.36504438935368	0.26479518945754	NS
0.370584423401872	0.0612987550944156	HSF1	-2.3092986258949	-1.93871420249303	0.263584646905987	NS
0.510818802417674	0.0649774518465356	NFATC1	-2.1383856198626	-1.62756681744492	0.26479518945754	NS
0.21962236442398	0.0599838244336373	RANDOM1_3_mCMV	-2.12630680449522	-1.90668444007124	0.263584646905987	NS
0.366659754865752	0.0851934726882754	RANDOM2_1_mCMV	-2.43497670328577	-2.06831694842002	0.297025891264528	NS
0.409766210727626	0.113506165496197	RBPJ	-2.24036959779774	-1.83060338707012	0.357129154853888	NS
0.226712260420639	0.154634819128074	RANDOM3_2_mCMV	-1.64942040401029	-1.42270814358965	0.407557745794002	NS
0.222960912007833	0.14513225152009	GLI1	-2.25015270762913	-2.0271917956213	0.407557745794002	NS
0.224621619326697	0.154808756154311	AHR::ARNT	-1.33036772841784	-1.10574610909114	0.407557745794002	NS
0.219593953747702	0.161282776856481	GATA1	-2.47864043988777	-2.25904648614006	0.416109564289721	NS
-0.283211897349301	0.17503897648008	REL	1.31807204292201	1.03486014557271	0.418148666035748	NS
0.153626784030189	0.179919284957234	MAF::NFE2	1.90315043017505	2.05677721420524	0.421992504717877	NS
0.191137408386878	0.195545842572386	NRF1	2.26091473981591	2.45205214820279	0.434920925721341	NS
-0.192699930963022	0.186983512852405	GATA4	2.24850811468143	2.05580818371841	0.430729877820719	NS
-0.211185781124158	0.193645600210349	POU5F1	-0.386514542061233	-0.597700323185391	0.434920925721341	NS
-0.166394182749762	0.207393603211865	NR4A1	-1.36662845135028	-1.53302263410004	0.453453810412383	NS
0.210432480570537	0.225591030662566	SOX9	-2.29089030183341	-2.08045782126287	0.465802336337138	NS
0.163721599391797	0.254954393528364	RANDOM1_2_mCMV	-1.92444652521109	-1.7607249258193	0.491817062464649	NS
-0.171337904488156	0.262293310253479	CLOCK	1.21644298195488	1.04510507746672	0.494098207084412	NS
0.150065527829648	0.268115306169836	NR3C1	-2.77970982628641	-2.62964429845676	0.494098207084412	NS
0.134218989484355	0.27404885726238	TFEB	1.52569697518367	1.65991596466802	0.497919754744324	NS
0.191821394165629	0.265258814338654	SRF	-0.975707772060989	-0.78388637789536	0.494098207084412	NS
-0.19402352217303	0.318574392010773	NR5A2	-1.38450982632723	-1.57853334850026	0.553072105451196	NS
0.169699966975716	0.321553549680928	WT1	-1.32272658220548	-1.15302661522976	0.553072105451196	NS
0.153224828533247	0.320398332373567	IRF1	-2.01431709985465	-1.86109227132141	0.553072105451196	NS
0.298453885735701	0.411340232986212	TCF7	1.35138969098103	1.64984357671673	0.633293727882108	NS
0.150416277059338	0.354671013840456	RANDOM2_3_mCMV	-2.31741862460666	-2.16700234754733	0.592241145386977	NS
0.0975641765893717	0.35809929721073	FOS::JUN	0.588922418642372	0.686486595231744	0.592241145386977	NS
-0.124956836108676	0.412377311179047	TEAD1	1.17752623129642	1.05256939518774	0.633293727882108	NS
0.129950077934537	0.430826559721875	VDR::RXRA	-1.85456782050933	-1.72461774257479	0.653842661224964	NS
0.122794410346331	0.389337092896028	NR1I3	-1.92407161388586	-1.80127720353952	0.616641025748658	NS
0.117302600966925	0.45998360670598	RANDOM3_3_mCMV	-1.91416347204932	-1.79686087108239	0.682044658219212	NS
0.122512082653452	0.457990376457977	ESR1	-1.80336525879252	-1.68085317613907	0.682044658219212	NS
0.0478841744810087	0.730855376487375	HNF4A	-0.666855548665483	-0.618971374184474	0.867989986349093	NS
0.0737215147214675	0.508090741946135	MTF1	2.36282819196425	2.43654970668571	0.732872569834651	NS
0.0641780817375564	0.534040098287593	MYC	-0.201897167541077	-0.137719085803521	0.757045853616478	NS
0.0681248384757365	0.552742530304203	FOSL1	-0.996326085055852	-0.928201246580115	0.758442033547021	NS
0.056669475254903	0.580811466069257	RARA:RXRA	-0.265646914461488	-0.208977439206585	0.770224248424778	NS
0.0512093740232532	0.586365616370166	NFYA	0.529931794846371	0.581141168869624	0.770224248424778	NS
0.0806492217877257	0.765283689442432	TP53	2.14168163668165	2.22233085846937	0.897469053982489	NS
0.0361335771001845	0.84270081042422	CEBPB	0.144168323691592	0.180301900791776	0.945290474301951	NS
-0.078074386392086	0.615173995177586	SMAD2::SMAD3::SMAD4	-1.24364879566395	-1.32172318205604	0.780375896341424	NS
0.0903683392106151	0.670607430872293	NR1H2	1.2791969794145	1.36956531862511	0.831811140216594	NS
0.116122107614118	0.695962050463288	HNF1A	-0.33994106231133	-0.223818954697211	0.848545318525105	NS
0.057877185287042	0.733417895442257	EGR1	-1.78503237350746	-1.72715518822042	0.867989986349093	NS
-0.0161870204537416	0.890548925360737	SREBF1	-2.26203021523936	-2.2782172356931	0.949428193153183	NS
-0.00347888317542358	0.984075049496055	IRX3	-0.499048783446805	-0.502527666622228	0.995887257620177	NS
-0.00171299754345545	0.993387907500315	PPARG::RXRA	-2.10036347489585	-2.10207647243931	0.995887257620177	NS
-0.0171031092801844	0.906657364370884	THRA	-1.74001274220355	-1.75711585148373	0.950884552876781	NS
0.0131180153809279	0.949017171567546	RORA	-2.12762917898084	-2.11451116359991	0.987283993001721	NS
-0.000924363984192741	0.995887257620177	NR1I2	-1.58554031876847	-1.58646468275266	0.995887257620177	NS
0.0161821493757761	0.878208642989943	HIF1A	-0.976284088093063	-0.960101938717287	0.949428193153183	NS
0.00412575376318018	0.98300996707089	TFAP2A	-2.05133035209204	-2.04720459832886	0.995887257620177	NS
-0.478041871985787	0.0309715732677325	RFX1	-0.745904931531813	-1.2239468035176	0.217201267901146	NS
0.474448312971005	0.0352762012866728	RANDOM1_1_Random	-1.79643170836519	-1.32198339539418	0.217201267901146	NS
0.301041645851447	0.0608855490601137	RANDOM2_1_Random	-1.44477789530625	-1.1437362494548	0.263584646905987	NS
0.264601312988216	0.0838069303759266	RANDOM3_1_Random	-0.483770419492727	-0.21916910650451	0.297025891264528	NS
-0.152932852191552	0.22940855387705	SP1	1.42713105504525	1.27419820285369	0.465802336337138	NS
0.159525779289953	0.391973365204573	FOXA1	-1.98032240240971	-1.82079662311975	0.616641025748658	NS
0.0289569691875981	0.875681356393441	NR3C2	-0.726474964067249	-0.697517994879651	0.949428193153183	NS
-0.49884980314363	0.001641603304789	STAT3	1.85475248628251	1.35590268313888	0.030252403759683	NS
0.483210309072499	0.0024215224161156	PAX6	-2.24389316374551	-1.76068285467301	0.0390470489598641	NS
0.520385280789094	0.00701379751624859	RANDOM2_2_hBGm	-2.47989163865891	-1.95950635786982	0.0822527163269152	NS
0.551868374256472	0.017823936759116	NEUROG2	-3.09801595849965	-2.54614758424317	0.164234845851854	NS
0.462218639936305	0.0341923031536996	IRF3	0.941574166004377	1.40379280594068	0.217201267901146	NS
0.427921230509962	0.0353583459373959	RANDOM3_2_hBGm	-2.11121159004814	-1.68329035953818	0.217201267901146	NS
0.555100903483804	0.0432327806748548	HOMEZ	-2.97809319006566	-2.42299228658185	0.242479509002446	NS
0.40375852899615	0.0493311998029221	RANDOM3_1_hBGm	-1.76275020525217	-1.35899167625602	0.263584646905987	NS
0.39538062146277	0.0531316188966161	RANDOM3_3_hBGm	-1.87603430296396	-1.48065368150119	0.263584646905987	NS
-0.194652533497078	0.0775215321880258	NFE2L2	2.32666530457894	2.13201277108186	0.2933362764236	NS
0.424825661557872	0.0795873618203566	RANDOM2_1_hBGm	-2.89316775104676	-2.46834208948888	0.2933362764236	NS
0.376599826433912	0.100509343821577	CREB1	-1.27227163092877	-0.89567180449486	0.332453983409833	NS
0.324428181424053	0.12645443719525	RANDOM2_3_hBGm	-2.69423511487356	-2.36980693344951	0.388395771385412	NS
0.330531183304099	0.12993955985154	RANDOM1_3_hBGm	-2.84491662869915	-2.51438544539505	0.389818679554619	NS
0.174607864030336	0.146605932399219	ELK1	2.04099772588722	2.21560558991755	0.407557745794002	NS
-0.208656053392753	0.172538433790495	ESRRB	-1.50857762806547	-1.71723368145822	0.418148666035748	NS
0.284629183307175	0.231095732756409	RANDOM1_1_hBGm	-2.74197913921626	-2.45734995590909	0.465802336337138	NS
0.382288554341904	0.365347708217742	TCF7L2	0.946937014940687	1.32922556928259	0.596580434937832	NS
0.137375043250555	0.511306444070687	RANDOM1_2_hBGm	-2.46651953773259	-2.32914449448204	0.732872569834651	NS
-0.183305969041785	0.552110877507547	NFKB1	-0.730731752103816	-0.914037721145601	0.758442033547021	NS
0.0881029594391901	0.668022442368786	GBX2	-2.18593302991832	-2.09783007047913	0.831811140216594	NS
0.12223667075938	0.585295424388883	SMAD4	-1.51124170643589	-1.38900503567651	0.770224248424778	NS
