logFC	P.Value	tf	DMSO	HQ	p_adjusted	sig
-0.139227816155418	0.614076584605281	NR1H2	-1.39748934295008	-1.5367171591055	0.682895512190355	NS
0.0847900548442535	0.630428431121655	XBP1	-0.573145476134178	-0.488355421289924	0.689197183175369	NS
-0.0844816639360417	0.62127634742455	RANDOM3_1_mCMV	-1.74759350856592	-1.83207517250196	0.684996998442453	NS
-0.0559864103174986	0.666912176287751	TFEB	1.00943847203658	0.953452061719077	0.722955216311931	NS
0.0635632906476392	0.782050056607422	TP53	-0.197358769218556	-0.133795478570917	0.813584333083528	NS
0.635679085068547	0.0335310377726617	RANDOM3_1_Random	-0.866632823718673	-0.230953738650126	0.0801019235680251	NS
0.430365202286784	0.0551261691962566	NR3C2	-0.664842265696832	-0.234477063410048	0.11173305318803	NS
0.375627243599275	0.0839815964608542	FOXA1	-1.15158771270193	-0.77596046910265	0.152586280893665	NS
0.644622747226806	0.218248431354411	RFX1	-0.0860541843109736	0.558568562915833	0.306022257007815	NS
0.0285586309474438	0.889647021588435	RANDOM1_1_Random	-0.471533943745432	-0.442975312797988	0.910829093531016	NS
-0.0859602074417358	0.438633575104178	RANDOM2_1_Random	-0.298829666924421	-0.384789874366156	0.513682501503954	NS
-0.109676896864659	0.264072549278966	SP1	0.540043172275355	0.430366275410696	0.351189266566873	NS
-1.25714050931145	4.63576046684327e-05	GBX2	-1.79993577764816	-3.05707628695961	0.00199337700074261	Downregulated
0.605935838934728	0.000150636274698992	NFE2L2	1.99625502587816	2.60219086481289	0.00388641588723398	Upregulated
-1.13571462231895	0.000268495980178077	NEUROG2	-2.06081058278415	-3.1965252051031	0.004947997348996	Downregulated
-1.13509512619618	0.000313138845856282	ESRRB	-1.87927717050914	-3.01437229670532	0.00504936388943255	Downregulated
-0.845040921050429	0.000371966320304409	RANDOM3_3_hBGm	-1.79363129865413	-2.63867221970456	0.00533151725769652	Downregulated
-1.03792421028305	0.000518226075553603	RANDOM2_1_hBGm	-2.22802590292041	-3.26595011320346	0.0058040064958708	Downregulated
-1.20355466664324	0.000568814527924202	SMAD4	-1.91816478083762	-3.12171944748086	0.0058040064958708	Downregulated
-0.89790696933841	0.000545811452965462	RANDOM3_2_hBGm	-1.62340823678429	-2.5213152061227	0.0058040064958708	Downregulated
-1.08002830953224	0.000630614431146576	TCF7L2	-1.87251207603942	-2.95254038557166	0.0058040064958708	Downregulated
-0.905816125801744	0.000674884476264046	PAX6	-1.9908389110324	-2.89665503683415	0.0058040064958708	Downregulated
-0.972630748875443	0.00127978920393262	HOMEZ	-2.40737897441374	-3.38000972328919	0.00921813203827093	Downregulated
