tf,condition,primetime_logFC,chromVAR_dif,primetime_sign,chromVAR_sign,primetime_pval_adj,chromVAR_pval_adj
ELK1,SOX2_degradation,-0.445705373178629,0.07756664464884246,NS,Upregulated,0.0255337778512205,1.0808966473296962e-5
ELK1,TFCP2L1_knockdown,0.174607864030336,0.0042961687493266836,NS,NS,0.407557745794002,0.9595895764557512
ELK1_A,FOXA1_overexpression,0.126108151666294,NA,NS,NA,0.92869572764428,NA
ELK1_A,POU5F1_degradation,0.560972560659074,NA,Upregulated,NA,0.00231409442228531,NA
ELK1_B,FOXA1_overexpression,-0.208552514891924,NA,NS,NA,0.922631756910257,NA
ELK1_B,POU5F1_degradation,-0.166001658409328,NA,NS,NA,0.55808781469597,NA
ESR1,Chiron_removal,-0.34295936639021,-0.015447823720959673,NS,NS,0.908130000950612,0.17147730486649065
ESR1,FOXA1_overexpression,0.971359570332107,0.012786926824902234,NS,NS,0.797866376144013,0.4580899786063975
ESR1,LIF_removal_24h,-0.300107473128551,-0.027725739777972793,NS,Downregulated,0.812619426714483,0.00648881842508097
ESR1,POU5F1_degradation,-0.0061841572158941,0.0207248907109288,NS,Upregulated,0.998183087815994,0.007015746953908178
ESR1,SOX2_degradation,0.120665073199239,0.022007733607082657,NS,Upregulated,0.858968577418159,0.002867938674971738
ESR1,Serum,0.0688553387877174,-0.01784931297506152,NS,NS,0.79170321070972,0.1806427542433446
ESR1,Forskolin,0.0854585661976259,2.2800114274794305e-4,NS,NS,0.735113616830221,0.9993433391877434
ESR1,Heat_shock,0.77568645671919,0.039397710121386986,Upregulated,Upregulated,7.39334525634666e-5,1.034505262596111e-4
ESR1,LIF_removal_1h,0.364804079143786,0.004168327789782728,NS,NS,0.918319072311947,0.9968723756132148
ESR1,LIF_removal_3h,0.0888960748324598,-0.0032612041568597155,NS,NS,0.89918293817698,0.9999437632103492
ESR1,LIF_removal_6h,0.0337188175976233,-0.01805754819428563,NS,NS,0.901840921210465,0.563665383841955
ESR1,mNPC_differentiation,0.647208302306004,-0.08729474978203547,NS,Downregulated,0.013885421332508,1.7854653894441576e-11
ESR1,TFCP2L1_knockdown,0.122512082653452,-0.007428803403560234,NS,NS,0.682044658219212,0.9505540340835739
ESRRB,Chiron_removal,0.635061512832989,-0.02179418309020223,Upregulated,NS,0.00662890456700209,0.44002689210401835
ESRRB,Serum,-0.0693347668415113,-0.053833628480559725,NS,Downregulated,0.722563468863308,0.03480749344246949
ESRRB,Forskolin,0.248486903900656,-0.0023688732675925545,NS,NS,0.161675345118865,0.9993433391877434
ESRRB,FOXA1_overexpression,0.402630347638422,0.037343945664667706,NS,NS,0.789720059729306,0.37136400016272536
ESRRB,Heat_shock,0.838651611132644,0.1496457639534635,Upregulated,Upregulated,3.77511094356477e-6,6.2092105541965284e-9
ESRRB,LIF_removal_1h,0.0749848791798785,0.013590738721434441,NS,NS,0.932201579881635,0.9968723756132148
ESRRB,LIF_removal_24h,0.134860906440826,-0.05620416624244487,NS,Downregulated,0.768745598943699,0.00648881842508097
ESRRB,LIF_removal_3h,0.204366540089655,-0.004107151326098835,NS,NS,0.672542266954426,0.9999437632103492
ESRRB,LIF_removal_6h,0.285637206344576,-0.02041429695632432,NS,NS,0.317182468473736,0.9630486350669691
ESRRB,mNPC_differentiation,-1.333135786001,-0.24775353230841282,Downregulated,Downregulated,1.05233624341262e-7,3.64089048523008e-14
ESRRB,POU5F1_degradation,-0.146134125836905,0.0038335446549740883,NS,NS,0.696790721196656,0.8281566361000751
ESRRB,SOX2_degradation,-1.95402300038977,-0.05859842935283382,Downregulated,Downregulated,5.59737123925227e-8,3.487471730497886e-4
ESRRB,TFCP2L1_knockdown,-0.208656053392753,-0.01913926873000319,NS,NS,0.418148666035748,0.9505540340835739
ETS2,Chiron_removal,0.179100676905392,0.01319611383884568,NS,NS,0.908130000950612,0.6583060240714198
ETS2,FOXA1_overexpression,-1.31206095051387,0.0393808673994953,NS,NS,0.789720059729306,0.3715275527161268
ETS2,LIF_removal_24h,0.272203541949365,0.024766221098021964,NS,NS,0.824105336145308,0.2521204572746594
ETS2,POU5F1_degradation,0.222677206875625,0.029653291850835192,NS,NS,0.846572753454252,0.07979534568877439
ETS2,SOX2_degradation,1.89189737088598,0.06323697704046075,Upregulated,Upregulated,5.9379360494177e-4,4.252992746559238e-4
ETS2,Serum,-0.0653701271820228,0.005751616103997341,NS,NS,0.861980064550013,0.9620263281339205
ETS2,Forskolin,-0.11923506309747,-0.005520995091147795,NS,NS,0.735113616830221,0.9714745828818446
ETS2,Heat_shock,0.241045047477209,-0.025765784811730138,NS,NS,0.277038269628505,0.2596858187995139
ETS2,LIF_removal_1h,-0.486119207899105,-0.011074243234118826,NS,NS,0.856605853241138,0.9968723756132148
ETS2,LIF_removal_3h,-0.0926488096962155,-0.0013790797011180404,NS,NS,0.92661924613285,0.9999437632103492
ETS2,LIF_removal_6h,-0.0417899642645029,0.008128236544514316,NS,NS,0.901840921210465,0.9953257592195215
ETS2,mNPC_differentiation,3.09967816122559,0.09188131121883862,Upregulated,Upregulated,1.24279832347176e-18,2.1394003548503704e-5
ETS2,TFCP2L1_knockdown,-0.0524326610456067,0.00722595858209372,NS,NS,0.923006195966558,0.9505540340835739
FOS::JUN,Chiron_removal,-0.466767276757013,0.0040889431427343845,NS,NS,0.182383825142532,0.8758011331211609
FOS::JUN,FOXA1_overexpression,0.474413037115839,0.029639616762969154,NS,NS,0.671825225493959,0.5345315300536976
FOS::JUN,LIF_removal_24h,-0.398335363866176,-0.043574961005775376,NS,NS,0.291143786948877,0.0616147538317438
FOS::JUN,POU5F1_degradation,1.04104901730996,0.07083821285899444,Upregulated,Upregulated,3.5715013893478e-4,6.40602043009518e-4
FOS::JUN,SOX2_degradation,0.480760366539388,0.055656746740702784,NS,Upregulated,0.0341148969020267,0.0030765805794092443
FOS::JUN,Serum,1.49624158115953,0.10824321466090044,Upregulated,Upregulated,4.1640955737428e-11,3.4714083249263935e-4
