tf,condition,primetime_logFC,chromVAR_dif,tobias_logFC,primetime_sign,chromVAR_sign,tobias_sign,primetime_pval_adj,chromVAR_pval_adj,tobias_pvalue
TFEB,Chiron_removal,-0.342080484655405,-0.027093682268466195,-0.183,NS,NS,Downregulated,0.464339361893362,0.5682053278449876,3.59113e-115
TFEB,FOXA1_overexpression,-0.700752267368696,0.04311376108363439,-0.04513,NS,NS,Downregulated,0.789720059729306,0.9647565003951759,1.7492799999999998e-31
TFEB,LIF_removal_24h,-0.0783318228584994,-0.024452358669630785,-0.13524,NS,NS,Downregulated,0.869798620403248,0.47453017824735927,2.0924e-106
TFEB,POU5F1_degradation,0.16909120027259,0.04078612506071688,0.07269,NS,NS,NS,0.696579722481535,0.09053725265793292,9.67415e-78
TFEB,SOX2_degradation,0.25900517870597,0.055686316297205586,0.12399,NS,Upregulated,NS,0.314476333054412,0.01944724167543593,3.50998e-97
TFEB,Serum,-0.219332033897067,-0.015687915462129713,-0.00856,NS,NS,Downregulated,0.202568371480329,0.8951261095962638,5.54494e-8
TFEB,Forskolin,0.657697506107946,0.03154441188119779,0.06336,Upregulated,NS,NS,9.52588663399839e-5,0.8015285467688589,7.46624e-63
TFEB,Heat_shock,0.207933453889898,0.13921779740650378,0.18755,NS,Upregulated,NS,0.128692466197378,5.2002002286016484e-5,2.7702399999999994e-104
TFEB,LIF_removal_1h,-0.0424855952101043,0.0029527512469221286,0.01198,NS,NS,NS,0.974078750991532,0.9967208797546465,4.58556e-14
TFEB,LIF_removal_3h,0.023634884186375,2.915974861414372e-5,-0.05286,NS,NS,Downregulated,0.971859608156162,0.9990609479484573,1.37259e-53
TFEB,LIF_removal_6h,0.116580630336683,-0.002161252199971598,-0.05849,NS,NS,Downregulated,0.630035505224103,0.9972264321673686,1.5228999999999998e-59
TFEB,mNPC_differentiation,-0.465279726353793,-0.05813897613648261,-0.09841,NS,Downregulated,Downregulated,0.0111585100807568,0.03307113839902677,3.35452e-82
TFEB,TFCP2L1_knockdown,0.134218989484355,0.006626404606125047,0.01675,NS,NS,NS,0.497919754744324,0.963724134899497,1.43242e-16
TFEB,Forskolin_stimulation_NPC_24h,0.272094907795484,0.004162710532511875,-0.00378,NS,NS,NS,0.322739632306346,0.9667729220897776,0.113366
TFEB,Forskolin_stimulation_NPC_4h,-0.209320624269816,-0.007526507191647665,-0.02908,NS,NS,Downregulated,0.0110885092525567,0.9932348525597723,1.69886e-27
TFEB,Heat_shock_NPC,-0.930961675923804,0.09051615680088122,0.10741,Downregulated,Upregulated,NS,3.38299407530095e-5,0.001726747089935641,4.9633299999999997e-79
THRA,Chiron_removal,-0.110668103228354,-0.009724187939643495,-0.02942,NS,NS,Downregulated,0.908130000950612,0.624823844522862,1.10937e-27
THRA,FOXA1_overexpression,1.58731430492546,0.016140326452420476,0.15019,NS,NS,NS,0.705293673547243,0.5195170205612809,2.68507e-65
THRA,LIF_removal_24h,0.281399287268253,-0.029020294793128724,-0.06064,NS,Downregulated,Downregulated,0.824105336145308,0.04192421006958389,2.02059e-58
THRA,POU5F1_degradation,0.0877637277111679,0.009515893755568414,0.01264,NS,NS,NS,0.939042585085944,0.42804920779459155,9.20174e-11
THRA,SOX2_degradation,0.504253804493625,0.027742737522560505,0.06296,NS,Upregulated,NS,0.517695656537174,0.013146629116923811,1.1587100000000002e-56
THRA,Serum,-0.0010417036708585,-0.007797795309657866,-0.03116,NS,NS,Downregulated,0.998980054615421,0.8708738109832502,1.69071e-30
THRA,Forskolin,0.635504486423505,-3.5504557693784647e-4,-0.00222,Upregulated,NS,NS,0.00131145254789763,0.9982454964048935,0.0869826
THRA,Heat_shock,0.682270619064637,0.024087389407225136,0.01226,Upregulated,NS,NS,1.30568050594598e-5,0.10068166587160184,3.86585e-13
THRA,LIF_removal_1h,-0.344049480168572,0.0025647666989687887,-0.06177,NS,NS,Downregulated,0.856605853241138,0.9967208797546465,1.70435e-48
THRA,LIF_removal_3h,-0.0773060120608895,-0.00741016828722427,-0.04474,NS,NS,Downregulated,0.910647543770054,0.9990609479484573,2.75933e-31
THRA,LIF_removal_6h,0.147652997318378,-0.0015237295802509728,-0.03355,NS,NS,Downregulated,0.585474944051297,0.9972264321673686,3.52123e-27
THRA,mNPC_differentiation,0.198287218309101,-0.025322651870988977,-0.08925,NS,Downregulated,Downregulated,0.222936517251534,0.045078107222377685,1.57347e-71
THRA,TFCP2L1_knockdown,-0.0171031092801844,-0.004035411242465101,-0.01404,NS,NS,Downregulated,0.950884552876781,0.963724134899497,5.87373e-15
THRA,Forskolin_stimulation_NPC_24h,0.160874068530496,0.004675549775020035,0.0469,NS,NS,NS,0.763458905507052,0.9667729220897776,3.6941399999999997e-37
THRA,Forskolin_stimulation_NPC_4h,0.359797821972356,0.009782103374514593,0.05309,NS,NS,NS,0.0455768067176258,0.9002477129659247,1.96522e-38
THRA,Heat_shock_NPC,-0.00756316104930675,-0.0029058389869108213,0.05103,NS,NS,NS,0.989179139428334,0.8388139592063348,9.73862e-38
THRB,Chiron_removal,-0.127427075142286,-0.012050080808290165,-0.0674,NS,NS,Downregulated,0.908130000950612,0.624823844522862,2.82659e-62
THRB,LIF_removal_24h,-1.14314446088744,-0.04082520652935559,-0.04794,NS,Downregulated,Downregulated,0.178418581816849,0.020627498123460746,4.72169e-54
THRB,POU5F1_degradation,0.39078735304085,0.02740120787569002,-0.00166,NS,NS,NS,0.663228551541711,0.05051855025828066,0.534507
THRB,SOX2_degradation,0.64640457062996,0.03671516978592536,0.01901,NS,Upregulated,NS,0.549510780368552,0.007784198274216011,1.9983599999999997e-28
THRB,Serum,0.291042761424429,-0.022212340044625963,-0.00992,NS,NS,Downregulated,0.18266794053754,0.5735095287122544,8.03785e-8
THRB,Forskolin,0.632255691544971,-0.012670731849930731,-0.0376,Upregulated,NS,Downregulated,0.00171011653668499,0.8351111067758511,1.12519e-35
THRB,FOXA1_overexpression,-0.256921632204922,-0.03762299019156414,0.01572,NS,NS,NS,0.92869572764428,0.8813893490917688,4.9314e-5
