logFC	P.Value	tf	DMSO	FBS	p_adjusted	sig
-0.239999661064406	0.111492351528624	RANDOM2_3_mCMV	-2.31719767956521	-2.55719734062961	0.266342839762823	NS
-0.191686756460074	0.121173925048793	RANDOM3_2_mCMV	-1.64939056493757	-1.84107732139764	0.279132791630254	NS
-0.448665492937637	0.120221234627749	HNF1A	-0.334338479635404	-0.783003972573042	0.279132791630254	NS
-0.274535180653883	0.14591170574669	NR5A2	-1.38727056772825	-1.66180574838213	0.324527759333155	NS
-0.185894487662945	0.150363707271644	GLI1	-2.25439029700838	-2.44028478467133	0.328761326068509	NS
-0.194509299405702	0.180019146875125	RANDOM1_2_mCMV	-1.91464570386886	-2.10915500327457	0.387041165781519	NS
-0.209764293045964	0.234748760699437	CEBPB	0.150141308150436	-0.0596229848955275	0.458827123185263	NS
-0.204517096386547	0.23220406862406	PPARG::RXRA	-2.09812145597085	-2.3026385523574	0.458827123185263	NS
-0.141272037434386	0.243370382103191	RANDOM3_1_mCMV	-1.84746286557835	-1.98873490301274	0.461687930754582	NS
-0.194655476562626	0.238668582488908	RANDOM3_3_mCMV	-1.91748608013011	-2.11214155669274	0.459526076732376	NS
-0.137505748997537	0.296702972650324	SOX9	-2.29465811607343	-2.43216386507097	0.524310732491668	NS
-0.192938148529662	0.302160747227779	IRX3	-0.512435314329884	-0.705373462859546	0.526739680978155	NS
-0.193677286820218	0.310429101185218	RANDOM2_1_mCMV	-2.43789892832805	-2.63157621514827	0.533938054038574	NS
-0.158027989309769	0.343140309706769	TFCP2L1	1.60119971295825	1.44317172364848	0.567501281438118	NS
-0.153890569283571	0.363257003239508	RBPJ	-2.23972195492636	-2.39361252420994	0.585751917723707	NS
-0.146505215140295	0.404343657583506	HSF1	-2.30854985227027	-2.45505506741057	0.592731043503094	NS
-0.182221316403556	0.491565989898247	TP53	2.15250961072466	1.97028829432111	0.694136540820033	NS
-0.143855255102993	0.379222650906735	IRF1	-2.0143451271201	-2.15820038222309	0.58939424056589	NS
-0.0480954137097451	0.766034404606252	NR1D1	-2.66293019255409	-2.71102560626384	0.866828405212337	NS
-0.152747827855487	0.352941698053932	TFAP2A	-2.05062550375431	-2.2033733316098	0.576322519607054	NS
-0.103014613850764	0.659709972291948	NFATC1	-2.12235791056735	-2.22537252441811	0.79170321070972	NS
0.0688553387877174	0.662770496563675	ESR1	-1.80532801583479	-1.73647267704707	0.79170321070972	NS
0.0438324424098828	0.763747473345405	MEF2A	0.61268318262018	0.656515625030063	0.866828405212337	NS
0.0272070377212985	0.89971221200911	RORA	-2.12891437852925	-2.10170734080795	0.947451407232011	NS
