logFC	P.Value	tf	DMSO	NPC	p_adjusted	sig
-0.524415772050728	0.00858907357415807	RANDOM2_2_hBGm	-2.48274978780247	-3.0071655598532	0.0158284355866627	NS
-0.39803197269887	0.0257628494668908	RANDOM3_2_hBGm	-2.1110421243538	-2.50907409705267	0.0420684503953027	NS
-0.483186287822433	0.032576661527293	CREB1	-1.27391348107472	-1.75709976889716	0.0518813498397629	NS
-0.489474135377906	0.037382854022468	RANDOM2_3_hBGm	-2.70136704258591	-3.19084117796382	0.0574093829630759	NS
-0.462966560234795	0.0437519850106063	RANDOM1_3_hBGm	-2.8467974059466	-3.3097639661814	0.065289096231956	NS
-0.435304399345659	0.0696633987578667	RANDOM1_2_hBGm	-2.47861291627588	-2.91391731562153	0.0987536092281847	NS
-0.491521327359746	0.0937380262381208	HOMEZ	-2.98454741673647	-3.47606874409621	0.128640482816145	NS
-0.300486815504483	0.221942571105062	RANDOM1_1_hBGm	-2.7454295012457	-3.04591631675018	0.267575623107972	NS
-0.206622624159269	0.299644499388906	RANDOM2_1_hBGm	-2.88790538303924	-3.09452800719851	0.34823549928981	NS
0.13874596664651	0.302778979915125	NFE2L2	2.31251455557644	2.45126052222295	0.348736503652243	NS
0.0456820272257474	0.826590179850564	NEUROG2	-3.0952075630794	-3.04952553585365	0.853041065605782	NS
