logFC	P.Value	tf	Norm	HS	p_adjusted	sig
-0.0786211448108678	0.662686371576486	RANDOM3_2_mCMV	-2.17983361927994	-2.25845476409081	0.749881946783919	NS
0.058575371257049	0.756361058675885	RANDOM2_1_mCMV	-2.22552520377218	-2.16694983251513	0.841125660079217	NS
-0.0280268973255615	0.873103468821348	STAT4	-2.12670647795691	-2.15473337528247	0.923199569491425	NS
-0.0218845486279959	0.90039537526697	RANDOM3_1_mCMV	-2.12746689763487	-2.14935144626287	0.944317100889749	NS
0.0350746698827445	0.840950002100826	RANDOM1_2_mCMV	-2.11751914819236	-2.08244447830962	0.904021252258388	NS
0.0382693240519808	0.824812168972789	NFATC1	-1.93002782447876	-1.89175850042678	0.894124115945293	NS
-0.0400476898877533	0.821966180243789	TFCP2L1	-1.55521817125925	-1.59526586114701	0.894124115945293	NS
-0.00997173255493393	0.957505206887387	SOX2	-2.29681645162066	-2.30678818417559	0.988145373507783	NS
-0.00756316104930675	0.966174973395117	THRA	-2.11293652999094	-2.12049969104025	0.989179139428334	NS
0.000553178249404082	0.997440247825405	GATA1	-2.68574148995904	-2.68518831170963	0.999717531720236	NS
1.27166337594034	1.94262369550629e-10	CREB1	-1.95958428706712	-0.687920911126776	4.17664094533852e-09	Upregulated
0.799342286237502	5.51111176470919e-08	SP1	-1.85966991044281	-1.06032762420531	8.88666772059357e-07	Upregulated
0.879555151852197	4.16804271811779e-07	STAT3	-1.74617117970995	-0.866616027857754	4.88797736942905e-06	Upregulated
0.753937384146509	2.35884956833046e-06	SMAD4	-3.5574702254648	-2.80353284131829	2.53576328595524e-05	Upregulated
0.747426426438049	1.27991751855234e-05	PAX6	-3.32160080335201	-2.57417437691396	0.000103193349933283	Upregulated
0.897930997548078	1.52066346610127e-05	IRX3	-1.70008045409532	-0.802149456547242	0.00011539152183945	Upregulated
-0.696433799760429	2.04229763814748e-05	NFKB1	1.5157828071285	0.819349007368075	0.000146364664067236	Downregulated
0.631679551966451	0.000511529503994885	RANDOM3_2_hBGm	-3.20515211605822	-2.57347256409177	0.00299942300069728	Upregulated
0.527050379076763	0.00079948011283591	RANDOM3_3_hBGm	-3.15611624763271	-2.62906586855595	0.00448404063286228	Upregulated
0.502855621681295	0.000924877510236614	RANDOM2_1_hBGm	-3.19052960781206	-2.68767398613076	0.0049712166175218	Upregulated
0.343791486663733	0.00149830436119514	GBX2	-3.35976849624993	-3.0159770095862	0.0074338947151605	Upregulated
0.383951765665524	0.0041194408891579	HOMEZ	-2.6444842000749	-2.26053243440938	0.0166064960844178	NS
0.488654418882242	0.00865420861339265	RANDOM3_1_hBGm	-2.89830796776647	-2.40965354888423	0.0286254592596834	NS
0.522632928951343	0.0125686238457116	RANDOM2_2_hBGm	-3.09525864564854	-2.57262571669719	0.0386036303832572	NS
0.419070306193338	0.0231512817615923	RANDOM1_2_hBGm	-3.14349670951169	-2.72442640331835	0.0622190697342793	NS
0.321760289855571	0.024092461150896	RANDOM1_3_hBGm	-3.19595192563774	-2.87419163578217	0.0634270916013385	NS
0.372532943227112	0.044940231289144	RANDOM1_1_hBGm	-3.10507590264362	-2.73254295941651	0.0955854405978381	NS
-0.299670390467279	0.0497119551896607	NFE2L2	2.62125392139748	2.32158353093021	0.103432939023649	NS
0.331359715858404	0.0521199284466719	NEUROG2	-2.93277196600556	-2.60141225014715	0.105054230775323	NS
0.276256873440367	0.0662132560829163	RANDOM2_3_hBGm	-3.26326235354143	-2.98700548010106	0.120594136324482	NS
0.318610689251349	0.10704490602332	TCF7L2	-3.05687329167632	-2.73826260242497	0.170367716454755	NS
0.24100855315322	0.121624776541328	IRF3	3.24882048225866	3.48982903541188	0.186780906831324	NS
0.414964363982197	0.027253090251733	SOX9	-0.0585373696453997	0.356426994336797	0.0688688063195613	NS
-0.390601910518775	0.0321307426409558	RFX1	0.64911846124655	0.258516550727775	0.0767567740867276	NS
-0.248327319378095	0.194561843231996	RANDOM3_1_Random	-0.126344160625977	-0.374671480004072	0.267005082733271	NS
-0.0353106325256112	0.867306379816387	FOXO1	-0.0477773333407906	-0.0830879658664018	0.923199569491425	NS
7.10339676984694e-05	0.999717531720236	RANDOM2_1_Random	-0.213493923293012	-0.213422889325313	0.999717531720236	NS
0.0437561117761832	0.815970909237489	MEF2A	-0.0686132361436857	-0.0248571243675025	0.894124115945293	NS
-0.00244284109267062	0.989628931784631	RANDOM1_1_Random	-0.257826403293887	-0.260269244386558	0.999717531720236	NS
