mES_2i_LIF_r3	mES_2i_LIF_r2	mES_2i_LIF_r1	mES_2i_r1	mES_2i_r2	mES_2i_r3
6910	8380	6692	5348	6783	5536
642	963	867	777	818	527
1973	2561	2315	2280	2306	1629
566	750	748	649	650	492
2	12	4	8	4	3
188	187	151	188	192	153
19	26	24	24	21	26
46	47	76	58	47	25
15	29	31	26	31	21
7406	9005	8458	7459	7269	5823
24434	27473	25399	24404	24164	18456
2	13	14	13	11	5
448	697	845	650	626	394
548	553	605	548	632	525
37	76	71	17	12	7
48	64	67	19	16	7
2	2	1	0	0	1
455	597	596	351	325	278
329	422	380	353	361	273
256	492	224	164	440	237
166	220	165	195	224	158
33	36	45	43	52	29
148	163	123	156	180	152
868	807	834	1045	939	828
1942	2212	2321	2901	2694	2009
1781	2140	1779	2304	2140	1809
4090	4407	4547	4659	4244	3511
3070	3104	3040	4000	4132	3424
10	7	6	10	10	4
245	270	283	277	232	222
1647	1878	2038	1988	1756	1299
24	20	22	12	21	9
323	371	227	100	190	202
4	3	0	6	5	9
0	1	3	1	1	0
2	4	0	8	6	3
10525	12630	12950	12343	12229	9333
386	392	409	339	391	316
163	163	123	88	99	66
1	8	5	2	0	1
2	3	2	1	1	2
2	0	1	1	1	0
2	4	4	0	1	3
92	111	73	22	50	55
238	277	291	190	203	147
7	1	1	5	5	1
1	2	1	3	3	2
0	0	0	1	0	0
12	21	15	16	24	17
1	2	8	13	22	16
515	766	621	681	714	505
397	432	439	392	547	415
1	3	3	11	2	4
1528	1825	1667	1778	1741	1355
652	696	599	314	405	341
0	3	1	0	0	0
283	407	187	126	146	163
2	1	3	3	0	1
1723	2301	2050	2361	2384	1493
138	120	116	68	80	66
2352	2422	2428	2439	2320	2021
595	918	736	1006	856	550
420	513	411	441	443	384
1097	1501	1444	1495	1485	943
1383	1622	1462	1384	1339	1231
208	251	209	180	259	205
1149	1586	985	417	899	805
1966	2269	2307	2489	2280	1867
4	6	1	8	8	5
1	0	1	0	3	3
203	269	244	242	243	163
1277	1499	1831	1686	1570	1203
408	556	493	527	519	395
1763	2562	2069	2217	2030	1436
241	285	301	326	309	230
382	475	508	510	440	330
44	62	43	39	54	48
3	2	2	1	0	2
619	842	768	855	843	550
205	231	266	213	225	187
1375	1577	1685	2056	1823	1290
1309	1865	1806	2002	1990	1163
102	127	119	93	125	89
482	599	571	516	536	405
58	108	89	21	10	13
2	4	0	2	0	0
5035	8417	7500	4879	4554	2701
2865	3328	3206	2792	2926	2196
0	1	1	0	0	0
2	0	0	1	0	0
2	0	0	2	1	0
204	286	347	318	286	151
1179	1555	1441	1460	1432	998
311	490	452	533	507	303
237	195	195	224	232	196
2695	2772	3888	3117	3239	2420
88	140	138	146	126	74
492	806	844	668	619	406
1617	2086	1796	1854	1777	1228
722	1154	986	844	960	606
147	177	253	377	300	241
108	123	98	74	92	61
6	3	5	1	2	2
665	701	584	626	760	644
1627	1603	1494	1435	1669	1524
194	225	214	201	208	223
0	1	0	1	1	0
570	704	670	749	704	509
8	12	5	9	17	7
556	700	752	779	772	583
22	45	21	47	34	18
132	159	155	163	199	142
454	576	400	332	441	361
233	305	325	434	470	326
336	416	339	350	360	248
1432	1542	1581	1345	1477	1187
89	116	72	18	23	23
393	467	413	332	369	269
196	272	161	88	129	127
1644	2053	1941	1731	1637	1077
14	18	17	22	22	21
717	654	694	755	735	718
863	897	1112	1082	1038	796
17	14	12	0	3	0
0	0	1	0	1	0
921	1115	1082	653	637	495
69	98	106	76	65	54
7	12	10	9	5	5
532	635	649	637	521	432
3210	4685	4619	4635	3870	2491
0	0	0	2	1	0
6	4	7	19	14	15
314	484	484	498	476	287
3	7	3	13	3	2
996	1147	1120	1364	1262	962
294	384	339	320	338	261
1	1	1	1	2	0
192	190	208	156	190	149
427	620	690	1981	2345	1359
0	2	0	1	0	0
518	737	821	780	827	502
1	1	0	0	0	0
1273	1689	1428	1249	1210	877
5	10	3	5	2	5
73	47	64	53	65	72
48	48	54	36	28	32
0	1	3	4	3	1
199	201	212	196	260	196
1938	1942	1736	1847	1861	1618
172	195	290	377	312	213
428	408	373	377	378	382
885	1081	1033	861	1083	790
800	1046	979	804	877	613
3	4	7	3	10	8
58	55	41	55	63	42
0	0	0	0	0	1
0	1	0	0	0	0
4	4	1	2	2	2
0	1	0	0	0	0
7	11	40	51	33	14
78	77	91	81	99	67
2	1	1	1	0	1
392	517	598	601	500	378
252	213	337	359	235	193
91	107	87	65	89	72
7	7	5	3	13	5
2428	3232	2984	2623	2669	1988
3731	4485	4965	4700	4333	3442
556	860	649	728	802	448
2	1	2	3	1	2
448	453	630	702	556	447
2	2	4	9	3	9
61	77	57	62	56	37
865	903	825	841	832	729
84	69	101	86	95	85
0	0	1	1	0	0
0	1	3	1	0	1
0	0	1	1	1	0
64	87	94	82	90	68
675	698	778	800	678	571
9	18	20	10	84	75
2	4	3	7	0	2
0	0	2	0	0	3
2	0	1	0	1	0
55	115	58	66	75	59
260	367	378	418	408	277
113	151	146	83	160	126
25	52	31	42	51	33
0	0	0	1	4	5
586	599	542	552	636	520
399	473	487	685	679	515
873	844	903	1383	1215	1010
807	755	610	926	996	712
1934	2253	2332	2666	2299	1892
584	810	826	975	728	516
1716	2321	2479	2362	2277	1527
2	0	0	0	0	0
365	389	334	350	415	351
73	101	87	157	140	107
516	575	614	1146	874	544
195	320	239	271	264	201
11	15	10	14	8	11
50	62	46	28	25	27
46	45	55	29	50	31
204	291	286	371	333	174
5	5	2	3	3	4
646	897	1093	1138	915	565
508	694	684	679	649	546
601	764	828	785	766	518
51	70	66	56	68	31
0	3	0	2	0	0
2	0	2	2	2	1
853	1043	1064	997	973	848
0	0	0	0	1	0
46	41	33	65	65	57
0	0	1	0	0	0
4695	5408	5641	5369	5383	3868
313	371	387	366	398	278
672	870	797	880	823	577
0	1	0	1	0	0
326	315	400	321	389	332
10	6	4	13	17	13
0	0	0	1	0	0
586	852	689	702	777	475
5	6	5	3	10	5
5	3	5	5	16	10
627	715	749	874	761	538
278	332	326	356	324	204
0	0	0	1	0	0
956	922	972	1180	997	879
119	132	171	261	221	129
161	183	195	177	192	153
0	0	0	0	1	0
112	103	105	136	109	127
320	402	500	457	375	239
574	694	703	289	260	239
0	1	0	0	0	0
644	798	770	863	951	684
610	979	896	860	851	602
2343	2735	2445	2303	2495	1909
0	0	1	0	0	1
448	608	620	487	516	358
53	65	94	55	45	63
1	1	2	2	0	2
63	92	73	82	68	62
821	999	934	879	978	760
0	1	0	2	0	1
1	2	2	5	1	0
246	339	368	344	327	209
2	1	1	0	4	3
333	386	297	337	378	247
81	110	80	80	103	81
531	696	654	674	663	367
148	112	94	186	177	145
285	297	399	475	510	332
0	0	0	1	0	0
1957	2003	1948	1835	1993	1600
3461	4412	3359	2285	2994	2089
2828	3263	3837	3155	3203	2515
3277	4166	3648	3572	3619	2596
53	114	121	106	97	48
11	6	39	71	29	23
0	0	1	5	1	1
0	1	3	0	0	0
252	269	276	326	311	309
980	1295	1332	1389	1341	871
174	212	197	167	212	119
1012	1372	1337	1454	1262	843
6748	7784	7912	7916	8198	6288
971	1224	1150	1035	964	698
0	0	1	0	0	0
637	737	740	752	537	407
7369	7929	8989	8529	7709	6302
1971	2672	2671	2728	2201	1634
1105	1356	1018	1075	1117	797
411	563	523	497	517	340
0	0	2	1	2	1
1255	1539	1592	1500	1486	1102
20	23	7	5	8	7
1212	1294	1128	1057	927	883
522	755	690	681	649	429
1562	1616	1580	1844	1681	1233
1	5	6	5	0	4
49	55	58	46	50	29
12	17	16	7	11	6
436	547	556	706	649	446
57	66	72	141	160	139
180	257	195	181	204	126
21	35	55	47	40	21
5277	5875	5270	5501	6173	4752
9356	11265	10783	10976	10524	7776
282	408	321	383	370	282
273	342	339	347	316	253
1779	2339	2137	2523	2190	1411
831	912	1032	894	1042	784
58	80	93	68	75	64
1	1	0	0	0	0
101	118	128	106	121	78
0	0	0	1	0	1
353	374	416	411	294	303
639	669	648	483	530	435
17	19	9	6	5	14
4	5	4	0	2	1
195	173	228	181	157	133
519	522	507	469	457	379
0	0	1	0	0	0
461	574	527	478	513	327
517	679	498	644	763	487
2884	3686	3585	3695	3357	2373
1174	1311	1066	987	1256	1037
2	1	0	0	0	2
0	0	0	6	1	0
99	88	68	150	142	129
1	3	8	4	3	1
69	61	66	64	91	71
1561	2218	2566	2838	2560	1646
300	368	368	363	377	256
1379	1659	1625	1706	1551	1197
0	1	0	0	0	0
1	0	1	1	1	1
3	3	1	4	4	2
540	740	496	387	553	392
877	959	885	964	1201	905
2560	3423	3210	2394	2296	1518
12905	13988	14634	14979	13396	11289
350	423	458	446	509	357
4	4	3	7	2	4
7	10	10	7	5	9
0	1	1	0	0	1
6	10	3	10	16	15
0	1	2	0	0	0
0	3	2	0	0	4
7	5	8	6	7	5
0	0	0	1	0	0
0	1	0	1	1	0
117	103	134	181	234	135
271	392	395	339	337	223
132	173	167	189	171	126
479	563	688	586	555	354
76	110	165	131	140	80
141	229	408	414	311	135
1517	1822	1866	1914	1851	1321
37	35	25	10	34	24
184	203	189	206	225	175
1	0	1	0	0	2
875	1190	1033	1014	1064	723
302	299	267	303	305	259
50	61	63	71	64	51
17	25	24	16	16	14
504	587	516	520	413	332
104	131	122	97	53	43
238	304	242	203	267	205
317	317	341	297	338	321
167	275	236	261	207	166
538	895	417	158	386	250
131	177	128	105	124	109
20	21	22	20	31	33
6	18	9	5	8	5
35	54	50	36	62	33
17	27	27	24	24	18
10605	12517	10206	8265	8643	6829
3	11	8	5	12	4
57	81	59	84	67	50
1	1	0	3	0	0
673	871	801	813	972	641
0	0	0	0	1	0
3	5	1	0	1	0
29	22	21	21	26	16
31	30	29	24	32	17
6	3	6	7	5	13
699	915	966	985	929	666
240	267	224	188	237	167
84	85	84	98	72	43
3	1	7	7	2	1
0	1	0	3	0	0
12	26	34	12	63	40
0	6	7	5	19	2
0	1	0	0	0	2
15	10	10	9	13	9
39	22	16	14	31	27
3232	4089	3630	2998	3155	2408
2	1	0	1	0	0
3	0	4	0	0	3
39	65	121	146	96	53
1130	1339	1179	1538	1430	1004
0	0	3	0	0	0
1695	2155	1881	1509	1724	1358
0	0	0	0	2	0
170	163	153	159	159	150
2471	2647	2723	2793	2567	1995
13831	16279	13985	14797	14345	11065
2	0	0	1	3	1
469	560	612	673	635	500
2359	2891	2837	2185	2122	1658
3751	4529	4085	2333	2388	1809
1	4	0	1	1	1
1	0	0	0	0	0
1	0	0	1	0	0
0	0	1	0	0	1
3	2	1	9	14	2
3264	4075	3794	5222	4325	2752
746	808	980	611	837	590
0	1	1	0	3	2
0	12	3	37	22	16
5	4	5	4	2	2
126	192	220	206	228	144
1189	1628	1678	1945	1645	1053
4	19	11	16	7	9
8	10	15	32	26	5
130	135	170	260	213	165
8	12	40	249	72	13
316	303	336	459	370	304
2786	3212	3060	3018	3171	2436
557	718	675	710	696	481
455	508	576	514	583	422
26	40	50	43	50	34
2737	4198	4000	5083	4575	2752
90	134	128	111	121	78
171	222	200	172	182	119
161	226	222	155	177	145
1522	1813	1600	1551	1828	1503
47	53	39	23	63	71
1285	1760	1814	1783	1772	985
5	2	0	3	1	1
86	241	231	176	168	56
1	0	0	0	0	0
0	2	0	0	0	0
0	0	0	0	0	2
1	0	0	0	0	0
0	0	0	0	1	0
0	2	3	0	4	1
0	0	0	0	1	0
2751	2963	2754	2773	2707	2243
209	278	297	284	293	220
3	1	4	15	12	11
17	20	26	29	23	14
94	176	197	177	166	113
137	181	193	219	185	131
58	93	130	127	123	78
82	74	74	145	138	137
8	9	10	10	18	10
0	2	7	5	4	3
120	181	243	277	285	163
1169	1580	1638	2016	1939	1319
292	440	369	197	261	182
95	129	201	151	152	99
147	244	244	215	264	174
55	63	82	84	68	42
39	58	54	35	39	30
45	69	92	81	79	47
182	264	375	302	270	156
226	329	365	250	272	177
111	168	189	156	142	78
66	94	146	154	128	89
292	414	491	476	527	304
0	0	1	0	0	0
0	0	0	1	0	0
70	69	79	100	83	93
0	0	2	1	0	0
0	0	0	1	0	0
135	156	162	160	163	122
416	501	490	394	458	317
2728	2566	2946	2886	2607	2153
11	10	9	125	56	17
5	2	8	4	5	4
929	935	1007	1000	1058	894
357	435	357	271	296	210
42	73	67	71	65	39
16	14	16	26	29	24
1	1	3	3	4	1
3	0	0	0	2	0
450	474	447	397	461	359
17	19	15	10	22	19
7	3	11	13	4	1
431	431	510	646	514	442
8	7	11	24	18	18
20206	24478	23167	21415	21649	15656
1255	1293	1500	1386	1373	1058
1	0	0	0	0	0
17	24	25	20	25	19
0	1	0	0	0	0
0	1	1	0	0	0
0	2	1	0	0	0
0	0	0	1	0	0
0	0	1	0	0	1
1	5	3	0	0	1
1161	1347	1172	1260	1261	1005
1455	1599	1420	1118	1077	762
327	343	407	291	308	284
731	821	773	705	810	589
303	600	555	551	542	310
17	37	23	37	27	21
442	505	467	422	437	330
4788	5791	5645	4935	5221	3779
2	0	0	0	0	0
95	144	67	87	124	74
2387	2709	2598	2624	2675	2109
317	427	391	410	456	350
7	4	2	4	2	4
483	567	611	536	433	355
692	758	767	740	652	527
414	450	415	343	379	348
0	2	2	0	0	0
51	94	40	26	33	12
1101	1307	1324	1255	1338	1001
24	57	60	65	54	21
304	459	427	388	421	248
2008	2402	2316	2221	2418	1733
444	431	494	530	543	412
464	558	563	636	566	394
2	1	5	3	2	1
2485	2630	2765	2565	2398	1840
8	27	16	25	12	7
1755	1900	2036	2308	2102	1569
18	27	27	31	43	31
967	1185	1289	1105	1204	882
3	1	0	3	3	2
12694	14650	15937	13659	14617	11559
1569	1917	2103	1857	1692	1253
16	10	15	23	26	10
135	143	138	121	142	120
3	2	1	9	9	1
0	0	2	3	5	0
158	203	208	221	231	167
102	137	192	129	114	87
18	24	35	33	28	17
781	890	879	734	742	571
143	205	232	203	195	146
18	26	23	22	20	18
682	927	1002	871	901	626
847	724	847	1005	1000	763
2666	2784	2603	2529	2847	2380
460	622	511	538	554	344
486	434	405	396	410	356
0	0	0	0	1	4
306	356	421	369	356	273
401	544	629	601	516	328
0	1	1	0	0	0
0	1	0	0	0	0
330	369	406	374	417	310
81	109	121	141	129	71
144	148	176	152	134	110
370	341	413	380	352	316
2	5	4	2	2	1
2662	3047	3015	2884	3052	2375
0	0	0	1	0	0
3	2	3	7	1	0
19	27	15	22	22	26
4	5	4	8	14	2
54	61	62	65	53	50
0	1	1	1	0	1
1370	1628	1609	1343	1450	1078
140	202	226	179	157	110
2	1	0	3	0	0
11	9	12	7	5	2
266	340	324	305	299	229
59	108	96	91	108	44
1	0	2	2	0	1
59	85	79	92	95	58
63	117	98	104	94	43
57	81	80	93	52	33
292	310	369	339	329	241
112	153	151	164	162	130
2520	2707	2738	2586	2613	2091
1	2	5	2	4	4
528	557	602	584	559	404
160	170	188	156	144	143
48	50	70	68	87	43
59	94	72	69	73	62
18	18	25	16	29	14
324	447	420	390	432	314
513	640	557	533	583	451
0	1	1	0	0	1
0	0	1	1	1	0
525	645	688	617	555	431
625	755	731	727	615	469
303	310	289	202	324	267
779	840	964	989	1258	876
462	538	600	646	795	640
646	684	746	694	807	565
1354	1578	1646	1630	1552	1125
3	0	0	0	1	1
38	36	48	46	46	37
20	11	19	16	11	5
250	292	247	258	259	188
2391	3149	3071	2997	2713	1877
4	8	5	4	3	6
300	348	402	278	328	242
750	876	746	658	891	705
333	402	397	347	361	346
194	268	332	337	314	144
108	134	110	128	139	119
4	2	2	2	2	0
689	943	1010	1043	930	611
173	222	230	193	174	131
520	605	646	561	592	462
73	76	106	210	119	85
2	1	0	0	0	1
7	13	13	10	7	3
1274	1599	1250	1137	1282	866
1988	2829	2240	1799	1794	1038
469	538	606	588	581	516
523	811	764	650	575	387
38	49	37	27	16	21
3100	3960	4083	4571	4324	2978
43	81	86	59	53	40
692	882	910	851	837	590
117	116	150	106	110	94
150	218	140	119	109	65
5	0	0	0	0	0
2085	2327	2141	2220	2000	1525
1012	1051	1187	1087	1126	982
886	1135	856	781	996	628
569	615	644	600	702	522
560	622	521	459	426	335
34	33	22	16	13	13
287	475	486	359	375	244
145	212	247	209	191	130
1352	1557	1781	1897	1928	1287
458	620	751	587	495	369
231	271	278	281	271	183
6167	6926	7610	6748	7770	6013
56	94	100	67	50	29
25	29	38	60	52	42
2916	3108	3140	2759	2612	1973
1	1	1	1	1	0
0	0	2	0	0	0
3	4	2	1	1	3
6	5	1	4	1	2
3054	3458	3352	3268	3068	2471
3	2	5	2	6	4
1165	1369	1277	1272	1379	1021
8	15	7	2	11	10
45	62	51	38	28	28
2515	3187	2527	2104	1834	1383
0	2	4	1	1	1
71	102	81	98	94	48
15	14	11	13	14	10
1391	1628	1585	1725	1696	1267
3420	4358	3836	3618	3930	3105
4053	4883	5173	5178	4768	3772
812	1528	1226	1107	1320	735
9	10	9	2	0	1
105	116	79	103	100	108
1281	1361	1536	1433	1493	1214
200	194	221	209	228	196
0	2	0	0	0	0
1067	1362	1277	1296	1363	921
3	4	15	2	2	2
1476	1823	1256	941	1144	945
17	26	23	11	12	13
554	563	616	592	581	445
50	75	65	57	66	59
33	37	34	31	41	26
85	114	100	93	129	84
60	122	112	170	151	78
587	637	504	604	561	528
225	248	262	282	292	202
1481	1551	1979	2089	2256	1842
2445	3079	2748	1958	4192	3597
38	35	80	61	50	32
0	0	0	0	2	0
361	531	446	410	439	326
0	0	0	2	0	0
3	2	0	0	0	4
1	1	0	5	2	1
99	134	124	132	137	96
73	66	74	65	40	50
179	180	209	331	286	195
127	83	105	204	216	155
498	499	663	636	548	503
1077	1321	1421	1376	1494	1062
346	429	409	419	408	315
549	587	460	417	716	548
3614	3897	4723	4094	3826	3224
0	0	0	0	0	1
1402	1798	1505	931	917	701
1185	1287	1315	1352	1334	956
3240	3188	3024	2982	3117	2579
565	619	689	889	983	724
6	1	5	4	2	4
6109	7722	7374	6923	6499	4719
5649	6699	6404	6399	6128	4565
1208	1457	1476	1535	1439	1013
728	820	801	961	863	634
4	5	7	5	8	2
52	56	43	22	36	27
128	130	172	164	150	107
103	95	101	77	76	80
3	8	3	0	0	0
6	6	1	2	2	0
1	1	0	0	0	1
670	1006	981	1056	1063	651
107	157	141	127	171	120
274	296	323	366	333	252
435	671	641	578	516	323
6	9	6	6	2	1
108	122	127	115	111	78
200	229	260	227	214	173
110	206	180	171	154	107
151	245	218	254	210	155
69	106	119	121	88	58
3	1	7	2	6	3
0	0	0	1	0	2
259	348	393	362	366	285
0	1	0	0	0	0
282	368	425	458	408	266
192	257	264	341	282	244
220	278	301	338	319	230
132	175	159	191	171	127
333	413	369	593	429	277
147	152	148	145	175	126
15926	17837	18173	18119	16700	13753
99	139	152	167	167	97
490	566	612	599	565	411
323	375	317	324	408	277
980	1231	1235	1253	1400	944
1239	1460	1732	1566	1564	1185
622	753	806	683	834	608
207	245	265	301	287	231
0	1	0	1	0	0
2068	2328	2463	2511	2551	1957
97	125	130	200	188	123
1602	1834	1826	2008	1853	1469
552	725	644	461	389	287
552	606	593	527	536	407
368	424	532	639	586	355
1425	1475	1835	1466	1526	1145
1842	2018	2063	2089	1970	1591
48	51	65	47	44	37
4638	5086	6560	5375	5058	4127
693	648	660	588	620	598
70	82	76	72	88	54
169	145	147	146	129	123
339	410	304	267	329	179
639	856	932	826	837	487
18	20	14	31	13	16
0	1	0	0	1	1
7102	8238	7736	8151	7271	5728
7	6	8	7	3	2
1	0	0	0	1	0
7	5	3	5	6	7
4	5	2	3	6	2
38	54	61	101	85	52
4	6	4	4	4	3
3	9	2	1	2	1
1	0	0	0	1	0
26	19	23	19	43	22
0	0	0	1	0	0
3	0	4	1	1	2
1	1	1	3	2	6
340	422	384	445	467	315
36	36	24	59	64	22
446	573	548	649	512	381
7	11	16	17	7	14
525	673	632	536	621	451
672	793	699	624	582	463
0	3	7	5	3	2
11	17	21	14	11	13
0	0	1	0	2	0
151	164	189	175	158	100
656	771	876	784	655	516
0	0	1	1	1	0
7	6	2	15	10	4
142	169	232	164	170	118
233	217	257	226	206	150
657	762	881	786	762	542
1172	1269	1286	1082	1072	888
3	4	0	2	5	3
425	479	450	499	503	321
1989	2317	2173	2267	2334	1741
53	51	30	45	66	46
303	434	390	355	368	232
43	69	96	49	38	46
18	18	28	12	5	6
0	2	1	0	1	0
667	773	728	647	757	585
3754	4423	4316	4153	3938	2892
5	3	6	1	1	2
8	18	18	18	18	13
12	7	6	4	8	7
738	781	839	631	662	551
644	626	697	413	388	343
3	3	2	1	2	2
1	1	0	0	0	0
8	8	10	3	0	1
109	79	90	6	4	7
180	225	258	250	198	128
0	0	1	0	0	0
8	0	5	1	4	7
1508	1883	1674	1446	1499	1169
425	579	509	472	446	326
60	98	84	56	77	46
34	32	38	27	26	25
4947	5730	5107	4843	5005	3878
8935	10173	9729	9711	9116	6924
0	0	0	0	0	1
3	1	6	6	3	4
4	3	5	7	3	2
308	340	288	297	263	212
0	0	0	0	1	0
1	17	11	13	12	1
3458	3780	3555	3913	4043	3249
119	153	162	138	129	94
0	0	1	0	0	0
1	7	2	3	0	1
35	34	23	41	32	36
2	5	0	12	3	2
3	1	1	3	1	0
11	23	20	9	8	3
19895	20128	20430	21731	22351	18379
93	168	174	126	152	83
797	852	937	741	704	664
19	18	12	25	9	16
20	24	11	28	28	19
9	9	9	3	5	3
4	4	3	7	3	4
467	514	411	379	386	375
347	372	397	352	345	299
175	224	260	307	174	146
30	28	29	26	18	24
208	202	236	149	142	113
26219	29941	27491	28565	30286	23400
3115	3949	4225	4229	3695	2520
103	141	117	112	115	89
658	1193	940	760	629	328
4618	5304	5535	5116	5383	4009
194	277	276	229	211	138
150	245	221	164	173	119
959	926	1005	895	918	799
2636	1663	1700	1745	1602	1924
7162	8277	8490	8583	7097	5707
393	427	452	401	359	300
1857	2165	2164	1800	1769	1345
0	0	1	0	0	0
17	15	11	10	18	19
0	0	0	1	0	1
234	277	126	83	75	61
0	1	0	1	2	1
1	1	1	0	0	1
1	1	1	1	0	0
1	2	0	0	2	0
201	196	225	200	170	159
421	599	533	605	587	394
0	0	1	0	0	0
1532	1782	1572	2502	2195	1458
0	1	0	0	0	0
4	0	2	0	2	1
0	0	1	0	0	5
0	2	0	1	0	0
9	7	9	8	15	12
591	684	680	642	689	493
521	548	578	467	474	408
186	199	276	261	210	149
88	92	71	80	102	111
1314	1650	1380	1341	1442	942
8061	8364	8179	8752	9701	7278
1	0	2	1	3	0
1380	1819	1653	1528	1642	1063
0	1	0	0	0	0
2	2	4	6	2	5
0	0	0	0	1	0
0	0	1	0	2	0
0	0	0	2	0	0
8	10	8	26	15	18
1	0	0	0	0	0
2	1	3	3	5	3
335	419	463	386	457	319
673	781	716	765	833	648
0	1	0	1	0	0
0	0	0	0	4	0
1768	2646	2189	2574	2479	1604
389	496	447	444	516	372
1	1	0	1	1	1
22	29	11	19	20	13
0	0	0	0	0	1
0	0	0	2	0	0
10	7	13	12	15	6
0	0	1	0	1	0
24	29	29	58	50	26
19	4	23	13	19	26
6	17	23	13	27	18
15	15	19	23	20	17
125	169	82	97	108	83
0	0	0	7	2	0
0	0	1	4	0	0
125	109	116	124	114	106
7385	8530	6534	4644	4671	4279
41	49	58	23	31	27
784	888	935	881	852	662
1	0	0	0	0	2
39	65	87	63	35	27
48	106	82	88	54	33
326	369	409	299	321	278
165429	187785	176278	186449	163744	131628
1618	1641	2038	2026	2225	1796
194	160	224	186	239	187
6	5	3	3	9	5
883	1185	985	1070	1051	692
174	176	228	203	197	151
691	1256	715	534	378	199
386	420	415	409	451	397
6	7	12	5	4	11
95	98	110	89	120	68
224	359	333	316	299	182
113	143	175	128	137	86
2258	2827	2502	2514	2740	2003
845	992	1098	967	1001	748
471	551	541	619	457	395
11	9	5	7	7	15
850	1087	1010	933	998	795
0	0	2	0	1	0
154	182	194	157	172	125
750	1265	1206	1273	1065	581
2	1	1	0	1	0
21	15	14	10	10	11
14	10	20	9	7	6
383	371	474	392	356	339
11	16	24	24	18	22
686	768	723	863	779	520
2193	2642	3554	3982	3900	2728
336	415	456	392	371	288
1405	1473	1499	1498	1599	1262
2209	2592	2301	2348	2190	1683
510	551	544	572	527	434
739	977	992	1070	913	714
911	990	1075	1079	978	744
2246	2765	2462	2461	2579	1776
319	284	289	314	305	286
1	2	7	5	6	3
937	957	1036	1051	1004	836
0	1	0	1	0	0
22	24	31	32	23	16
4502	5251	4890	4872	5108	3792
1392	1416	1375	1644	1794	1243
446	419	383	442	408	354
0	1	2	3	1	1
1269	1715	1666	1693	1467	1010
925	977	940	885	851	738
2	0	0	0	0	0
57	70	81	36	39	24
670	767	745	786	781	620
2885	3295	2894	2087	2121	1544
2666	2914	2483	2588	2614	2207
165	262	273	263	281	205
144	129	147	105	153	117
0	0	1	0	0	0
0	1	3	2	1	2
77	101	122	94	82	75
38	51	44	9	7	4
683	1027	1190	448	349	182
11	15	26	36	36	18
1689	2270	2590	1737	1661	975
0	0	1	0	0	0
1	0	0	3	0	1
14	13	9	10	9	6
0	0	1	2	1	1
0	0	0	1	0	1
0	0	0	0	0	2
580	861	817	864	921	530
1287	1362	1440	1531	1570	1206
202	259	274	378	359	200
3	4	6	1	5	12
16	24	13	21	24	13
0	0	0	2	1	0
120	137	159	156	129	111
1	0	0	0	1	0
0	0	2	3	3	1
78	135	66	29	58	64
348	281	253	199	258	318
123	176	123	79	193	147
177	138	114	94	118	138
128	136	100	119	94	72
6	5	11	9	8	8
50	81	55	48	87	49
1210	1412	1273	1219	1264	939
0	2	1	2	0	1
1227	1962	1730	1987	1930	1191
958	1339	1545	1475	1323	867
0	0	1	0	0	0
2	1	2	9	8	2
162	195	168	203	188	128
21	24	37	35	38	25
50	76	95	82	79	62
75	85	108	117	83	74
4	1	1	6	8	6
367	360	393	360	387	341
0	3	4	3	1	3
131	140	111	110	93	92
35	45	72	44	31	32
1119	1276	1160	1002	1083	775
1102	1187	1172	1096	1209	1064
3731	4369	3944	4139	3992	3003
623	658	629	621	641	479
5349	5975	6061	5519	5085	4368
0	0	1	3	2	0
5	10	14	16	10	8
22	29	53	45	26	20
13	14	16	18	10	25
442	463	494	475	477	384
653	818	894	916	805	632
441	525	471	492	455	350
102	99	91	81	79	73
1363	1355	1516	1695	1602	1504
5	7	5	1	2	1
10851	11698	10039	8245	8958	7534
715	848	850	867	788	613
803	1081	1187	1264	1117	778
0	0	0	0	0	1
10	10	7	17	7	13
4644	5737	6448	6335	5236	3874
8473	9978	10688	10513	8841	6882
319	420	538	439	430	344
4955	5929	7831	6148	6146	4726
3479	3882	4135	4034	4003	3186
28	31	47	59	85	69
1495	1808	1875	1890	1930	1383
132	184	158	173	182	96
1042	1199	1437	1295	1123	924
48	42	61	34	22	19
934	917	1063	1054	950	720
8	6	3	2	7	3
985	1194	1080	765	761	613
40	41	26	28	15	28
578	674	702	366	274	196
401	567	501	581	504	347
0	0	1	0	0	1
1010	954	1057	1028	1100	833
109	101	138	118	141	106
3948	4191	4393	4155	3383	2864
0	0	0	0	0	1
4537	4923	5249	5419	4824	3745
1	0	0	1	1	0
149	164	193	216	169	128
15	24	40	26	20	12
20	19	22	12	3	14
6	7	1	9	4	7
1	5	7	13	4	4
0	0	5	0	0	1
99	176	162	135	143	94
1119	1408	1472	1308	1225	882
6	5	6	4	2	3
10	9	5	14	11	9
97	106	105	104	93	67
20	32	31	50	33	22
85	91	72	84	103	77
472	579	571	523	451	355
372	553	491	580	551	357
1315	2325	1336	1181	1341	801
1	0	0	0	7	0
2312	2580	2492	2487	2399	1992
0	3	0	3	0	0
182	285	282	256	180	130
1262	1555	1526	1483	1438	1111
3158	3895	3784	2928	2678	1996
429	611	580	705	738	430
450	820	1170	1024	748	461
2555	3026	2421	2214	2759	2258
711	814	851	807	702	545
1286	1654	1313	1260	1442	1041
